Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,LinkToPart,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension KA,Dimension L,Dimension M,Dimension RA,Dimension SA,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QAP11A203S,22211 ,2 3/16 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.88 in / 200.2 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap11a203s,Mounted Bearing,22211,2 3/16 in,Imperial,QAP11A203SB/QAP11A203SC/QAP11A203SEB/QAP11A203SEC/QAP11A203SEM/QAP11A203SEN/QAP11A203SEO/QAP11A203SET/QAP11A203SM/QAP11A203SN/QAP11A203SO/QAP11A203ST/QAP11A203STNG,Single Concentric,Two-Bolt Pillow Block,0883450044509/0883450044516/0883450044530/0883450044547/0883450044554/0883450044561/0883450044578/0883450044585/0883450187855/0883450188012/0883450265355/0883450265515/0883450960960,2.5 in/63.5 mm,5.25 in/133.4 mm,3.25 in/82.6 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,2.63 in/66.8 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.13 in/28.7 mm,3.32 in/84.3 mm,2 in/50.8 mm,0.19 in/4.8 mm,3.13 in/79.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAPL11A203S,22211 ,2 3/16 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.06 in / 179.3 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl11a203s,Mounted Bearing,22211,2 3/16 in,Imperial,QAPL11A203SB/QAPL11A203SC/QAPL11A203SEB/QAPL11A203SEC/QAPL11A203SEM/QAPL11A203SEN/QAPL11A203SEO/QAPL11A203SET/QAPL11A203SLRC4660/QAPL11A203SM/QAPL11A203SN/QAPL11A203SO/QAPL11A203ST/QAPL11A203STC4,Single Concentric,Two-Bolt Pillow Block,0013992131454/0883450047203/0883450047210/0883450047234/0883450047241/0883450047258/0883450047265/0883450047272/0883450047289/0883450188494/0883450188654/0883450265997/0883450266154/0883450500715,2.5 in/63.5 mm,5.25 in/133.4 mm,3.25 in/82.6 mm,6.5 in/165.1 mm,7.06 in/179.3 mm,8.88 in/225.6 mm,2.58 in/65.5 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.13 in/28.7 mm,3.29 in/83.6 mm,2 in/50.8 mm,0.16 in/4.1 mm,3.13 in/79.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAP11A203S - Stainless,22211 ,2 3/16 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.88 in / 200.2 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap11a203s-stainless,Mounted Bearing,22211,2 3/16 in,Imperial,QAP11A203SBSS/QAP11A203SCSS/QAP11A203SEBSS/QAP11A203SECSS/QAP11A203SEMSS/QAP11A203SENSS/QAP11A203SEOSS/QAP11A203SETSS/QAP11A203SMSS/QAP11A203SNSS/QAP11A203SOSS/QAP11A203STSS,Single Concentric,Two-Bolt Pillow Block,0883450701600/0883450701617/0883450701624/0883450701631/0883450701648/0883450701655/0883450701662/0883450701679/0883450701686/0883450701693/0883450701709/0883450701716,2.5 in/63.5 mm,5.25 in/133.4 mm,3.25 in/82.6 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,2.63 in/66.8 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.13 in/28.7 mm,3.32 in/84.3 mm,2 in/50.8 mm,0.19 in/4.8 mm,3.13 in/79.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QASN11A203S,22211 ,2 3/16 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn11a203s-4,Mounted Bearing,22211,2 3/16 in,Imperial,QASN11A203SB/QASN11A203SC/QASN11A203SEB/QASN11A203SEC/QASN11A203SEM/QASN11A203SEN/QASN11A203SEO/QASN11A203SET/QASN11A203SM/QASN11A203SN/QASN11A203SO/QASN11A203ST,Single Concentric,Two-Bolt Pillow Block,0883450353205/0883450353212/0883450353229/0883450353236/0883450353243/0883450353250/0883450353267/0883450353274/0883450353281/0883450353298/0883450353304/0883450353311,2.76 in/70 mm,5.55 in/141 mm,3.27 in/83 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,0.98 in/25 mm,0.625 in/16 mm,1.14 in/29 mm,3.35 in/85 mm,2.01 in/51 mm,0.20 in/5 mm,3.15 in/80 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAPMD11A203S,22211 ,2 3/16 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.94 in / 201.7 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd11a203s,Mounted Bearing,22211,2 3/16 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,2.75 in/69.9 mm,5.5 in/139.7 mm,3.25 in/82.6 mm,6.88 in/174.8 mm,7.94 in/201.7 mm,9.5 in/241.3 mm,2.63 in/66.8 mm,1.5 in/38.1 mm,0.625 in/16 mm,1.13 in/28.7 mm,3.32 in/84.3 mm,2 in/50.8 mm,0.19 in/4.8 mm,3.13 in/79.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAP11A204S,22211 ,2 1/4 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.88 in / 200.2 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap11a204s,Mounted Bearing,22211,2 1/4 in,Imperial,QAP11A204SB/QAP11A204SC/QAP11A204SEB/QAP11A204SEC/QAP11A204SEM/QAP11A204SEN/QAP11A204SEO/QAP11A204SET/QAP11A204SM/QAP11A204SN/QAP11A204SO/QAP11A204ST/QAP11A204STNG,Single Concentric,Two-Bolt Pillow Block,0883450044608/0883450044615/0883450044639/0883450044646/0883450044653/0883450044660/0883450044677/0883450044684/0883450187862/0883450188029/0883450265362/0883450265522/0883450493888,2.5 in/63.5 mm,5.25 in/133.4 mm,3.25 in/82.6 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,2.63 in/66.8 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.13 in/28.7 mm,3.32 in/84.3 mm,2 in/50.8 mm,0.19 in/4.8 mm,3.13 in/79.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAPL11A204S,22211 ,2 1/4 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.06 in / 179.3 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl11a204s,Mounted Bearing,22211,2 1/4 in,Imperial,QAPL11A204SB/QAPL11A204SC/QAPL11A204SEB/QAPL11A204SEC/QAPL11A204SEM/QAPL11A204SEN/QAPL11A204SEO/QAPL11A204SET/QAPL11A204SM/QAPL11A204SN/QAPL11A204SO/QAPL11A204ST,Single Concentric,Two-Bolt Pillow Block,0883450047302/0883450047319/0883450047333/0883450047340/0883450047357/0883450047364/0883450047371/0883450047388/0883450188500/0883450188661/0883450266000/0883450266161,2.5 in/63.5 mm,5.25 in/133.4 mm,3.25 in/82.6 mm,6.5 in/165.1 mm,7.06 in/179.3 mm,8.88 in/225.6 mm,2.58 in/65.5 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.13 in/28.7 mm,3.29 in/83.6 mm,2 in/50.8 mm,0.16 in/4.1 mm,3.13 in/79.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAP11A204S - Stainless,22211 ,2 1/4 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.88 in / 200.2 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap11a204s-stainless,Mounted Bearing,22211,2 1/4 in,Imperial,QAP11A204SBSS/QAP11A204SCSS/QAP11A204SEBSS/QAP11A204SECSS/QAP11A204SEMSS/QAP11A204SENSS/QAP11A204SEOSS/QAP11A204SETSS/QAP11A204SMSS/QAP11A204SNSS/QAP11A204SOSS/QAP11A204STSS,Single Concentric,Two-Bolt Pillow Block,0883450701846/0883450701853/0883450701860/0883450701877/0883450701884/0883450701891/0883450701907/0883450701914/0883450701921/0883450701938/0883450701945/0883450701952,2.5 in/63.5 mm,5.25 in/133.4 mm,3.25 in/82.6 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,2.63 in/66.8 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.13 in/28.7 mm,3.32 in/84.3 mm,2 in/50.8 mm,0.19 in/4.8 mm,3.13 in/79.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QASN11A204S,22211 ,2 1/4 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn11a204s-4,Mounted Bearing,22211,2 1/4 in,Imperial,QASN11A204SB/QASN11A204SC/QASN11A204SEB/QASN11A204SEC/QASN11A204SEM/QASN11A204SEN/QASN11A204SEO/QASN11A204SET/QASN11A204SM/QASN11A204SN/QASN11A204SO/QASN11A204ST,Single Concentric,Two-Bolt Pillow Block,0883450353328/0883450353335/0883450353342/0883450353359/0883450353366/0883450353373/0883450353380/0883450353397/0883450353403/0883450353410/0883450353427/0883450353434,2.76 in/70 mm,5.55 in/141 mm,3.27 in/83 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,0.98 in/25 mm,0.625 in/16 mm,1.14 in/29 mm,3.35 in/85 mm,2.01 in/51 mm,0.20 in/5 mm,3.15 in/80 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAPMD11A204S,22211 ,2 1/4 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,7.94 in / 201.7 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd11a204s,Mounted Bearing,22211,2 1/4 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,2.75 in/69.9 mm,5.5 in/139.7 mm,3.25 in/82.6 mm,6.88 in/174.8 mm,7.94 in/201.7 mm,9.5 in/241.3 mm,2.63 in/66.8 mm,1.5 in/38.1 mm,0.625 in/16 mm,1.13 in/28.7 mm,3.32 in/84.3 mm,2 in/50.8 mm,0.19 in/4.8 mm,3.13 in/79.5 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1600 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAP13A206S,22213 ,2 3/8 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,8.63 in / 219.2 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap13a206s,Mounted Bearing,22213,2 3/8 in,Imperial,QAP13A206SEM/QAP13A206SM,Single Concentric,Two-Bolt Pillow Block,883450510363/883450842129,2.75 in/69.9 mm,5.8 in/147.3 mm,3.81 in/96.8 mm,6.88 in/174.8 mm,8.63 in/219.2 mm,10.25 in/260.4 mm,2.9 in/73.7 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.6 in/91.4 mm,2.15 in/54.6 mm,0.21 in/5.3 mm,3.39 in/86.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAPL13A206S,22213 ,2 3/8 in,2.75 in / 69.9 mm,6.81 in / 173 mm,7.44 in / 189 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl13a206s,Mounted Bearing,22213,2 3/8 in,Imperial,QAPL13A206ST,Single Concentric,Two-Bolt Pillow Block,883450497015,2.75 in/69.9 mm,5.8 in/147.3 mm,3.81 in/96.8 mm,6.81 in/173 mm,7.44 in/189 mm,9.25 in/235 mm,2.9 in/73.7 mm,1.38 in/35.1 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.6 in/91.4 mm,2.15 in/54.6 mm,0.21 in/5.3 mm,3.39 in/86.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAP13A207S,22213 ,2 7/16 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,8.63 in / 219.2 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap13a207s,Mounted Bearing,22213,2 7/16 in,Imperial,QAP13A207SB/QAP13A207SC/QAP13A207SEB/QAP13A207SEC/QAP13A207SEM/QAP13A207SEN/QAP13A207SENFG/QAP13A207SEO/QAP13A207SET/QAP13A207SM/QAP13A207SN/QAP13A207SO/QAP13A207ST/QAP13A207STC4450,Single Concentric,Two-Bolt Pillow Block,0883450044806/0883450044813/0883450044837/0883450044844/0883450044851/0883450044868/0883450044875/0883450044882/0883450187879/0883450188036/0883450265379/0883450265539/0883450492775/0883450501330,2.75 in/69.9 mm,5.8 in/147.3 mm,3.81 in/96.8 mm,6.88 in/174.8 mm,8.63 in/219.2 mm,10.25 in/260.4 mm,2.9 in/73.7 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.6 in/91.4 mm,2.15 in/54.6 mm,0.21 in/5.3 mm,3.39 in/86.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAPL13A207S,22213 ,2 7/16 in,2.75 in / 69.9 mm,6.81 in / 173 mm,7.44 in / 189 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl13a207s,Mounted Bearing,22213,2 7/16 in,Imperial,QAPL13A207SB/QAPL13A207SC/QAPL13A207SEB/QAPL13A207SEC/QAPL13A207SEM/QAPL13A207SEN/QAPL13A207SENHT/QAPL13A207SEO/QAPL13A207SET/QAPL13A207SM/QAPL13A207SMT/QAPL13A207SN/QAPL13A207SO/QAPL13A207ST/QAPL13A207STHT/QAPL13A207STM,Single Concentric,Two-Bolt Pillow Block,0883450047500/0883450047517/0883450047531/0883450047548/0883450047555/0883450047562/0883450047579/0883450047586/0883450188517/0883450188678/0883450266017/0883450266178/0883450472555/0883450959520/0883450959537/0883450961394,2.75 in/69.9 mm,5.8 in/147.3 mm,3.81 in/96.8 mm,6.81 in/173 mm,7.44 in/189 mm,9.25 in/235 mm,2.9 in/73.7 mm,1.38 in/35.1 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.6 in/91.4 mm,2.15 in/54.6 mm,0.21 in/5.3 mm,3.39 in/86.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAP13A207S - Stainless,22213 ,2 7/16 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,8.63 in / 219.2 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap13a207s-stainless,Mounted Bearing,22213,2 7/16 in,Imperial,QAP13A207SBSS/QAP13A207SCSS/QAP13A207SEBSS/QAP13A207SECSS/QAP13A207SEMSS/QAP13A207SENSS/QAP13A207SEOSS/QAP13A207SETSS/QAP13A207SMSS/QAP13A207SNSS/QAP13A207SOSS/QAP13A207STSS,Single Concentric,Two-Bolt Pillow Block,0883450702560/0883450702577/0883450702584/0883450702591/0883450702607/0883450702614/0883450702621/0883450702638/0883450702645/0883450702652/0883450702669/0883450702676,2.75 in/69.9 mm,5.8 in/147.3 mm,3.81 in/96.8 mm,6.88 in/174.8 mm,8.63 in/219.2 mm,10.25 in/260.4 mm,2.9 in/73.7 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.6 in/91.4 mm,2.15 in/54.6 mm,0.21 in/5.3 mm,3.39 in/86.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QASN13A207S,22213 ,2 7/16 in,3.15 in / 80 mm,7.72 in / 196 mm,9.25 in / 235 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qasn13a207s-4,Mounted Bearing,22213,2 7/16 in,Imperial,QASN13A207SB/QASN13A207SC/QASN13A207SEB/QASN13A207SEC/QASN13A207SEM/QASN13A207SEN/QASN13A207SEO/QASN13A207SET/QASN13A207SM/QASN13A207SN/QASN13A207SO/QASN13A207ST,Single Concentric,Two-Bolt Pillow Block,0883450353687/0883450353694/0883450353700/0883450353717/0883450353724/0883450353731/0883450353748/0883450353755/0883450353762/0883450353779/0883450353786/0883450353793,3.15 in/80 mm,6.18 in/157 mm,3.81 in/96.8 mm,7.72 in/196 mm,9.25 in/235 mm,10.83 in/275 mm,2.91 in/74 mm,1.38 in/35 mm,0.625 in/16 mm,1.22 in/31 mm,3.62 in/92 mm,2.17 in/55 mm,0.24 in/6 mm,3.39 in/86 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAPMD13A207S,22213 ,2 7/16 in,3 in / 76.2 mm,7.5 in / 190.5 mm,8.5 in / 215.9 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapmd13a207s,Mounted Bearing,22213,2 7/16 in,Imperial,,Single Concentric,Two-Bolt Pillow Block,,3 in/76.2 mm,6 in/152.4 mm,3.81 in/96.8 mm,7.5 in/190.5 mm,8.5 in/215.9 mm,10.75 in/273.1 mm,2.9 in/73.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,1.24 in/31.5 mm,3.6 in/91.4 mm,2.15 in/54.6 mm,0.21 in/5.3 mm,3.39 in/86.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAP13A208S,22213 ,2 1/2 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,8.63 in / 219.2 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap13a208s,Mounted Bearing,22213,2 1/2 in,Imperial,QAP13A208SB/QAP13A208SBNP/QAP13A208SC/QAP13A208SEB/QAP13A208SEC/QAP13A208SEM/QAP13A208SEN/QAP13A208SEO/QAP13A208SET/QAP13A208SM/QAP13A208SN/QAP13A208SO/QAP13A208ST/QAP13A208STHT,Single Concentric,Two-Bolt Pillow Block,0883450044905/0883450044912/0883450044936/0883450044943/0883450044950/0883450044967/0883450044974/0883450044981/0883450187886/0883450188043/0883450265386/0883450265546/0883450459396/0883450510417,2.75 in/69.9 mm,5.8 in/147.3 mm,3.81 in/96.8 mm,6.88 in/174.8 mm,8.63 in/219.2 mm,10.25 in/260.4 mm,2.9 in/73.7 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.6 in/91.4 mm,2.15 in/54.6 mm,0.21 in/5.3 mm,3.39 in/86.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAPL13A208S,22213 ,2 1/2 in,2.75 in / 69.9 mm,6.81 in / 173 mm,7.44 in / 189 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qapl13a208s,Mounted Bearing,22213,2 1/2 in,Imperial,QAPL13A208SB/QAPL13A208SC/QAPL13A208SEB/QAPL13A208SEC/QAPL13A208SEM/QAPL13A208SEN/QAPL13A208SEO/QAPL13A208SET/QAPL13A208SM/QAPL13A208SMXY/QAPL13A208SMXYFG/QAPL13A208SN/QAPL13A208SO/QAPL13A208ST,Single Concentric,Two-Bolt Pillow Block,0883450047609/0883450047616/0883450047630/0883450047647/0883450047654/0883450047661/0883450047678/0883450047685/0883450188524/0883450188685/0883450266024/0883450266185/0883450500166/0883450500296,2.75 in/69.9 mm,5.8 in/147.3 mm,3.81 in/96.8 mm,6.81 in/173 mm,7.44 in/189 mm,9.25 in/235 mm,2.9 in/73.7 mm,1.38 in/35.1 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.6 in/91.4 mm,2.15 in/54.6 mm,0.21 in/5.3 mm,3.39 in/86.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
QAP13A208S - Stainless,22213 ,2 1/2 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,8.63 in / 219.2 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,https://cad.timken.com/item/single-concentric-solid-block-mounted-bearings/single-concentric-two-bolt-pillow-block/qap13a208s-stainless,Mounted Bearing,22213,2 1/2 in,Imperial,QAP13A208SBSS/QAP13A208SCSS/QAP13A208SEBSS/QAP13A208SECSS/QAP13A208SEMSS/QAP13A208SENSS/QAP13A208SEOSS/QAP13A208SETSS/QAP13A208SMSS/QAP13A208SNSS/QAP13A208SOSS/QAP13A208STSS,Single Concentric,Two-Bolt Pillow Block,0883450702805/0883450702812/0883450702829/0883450702836/0883450702843/0883450702850/0883450702867/0883450702874/0883450702881/0883450702898/0883450702904/0883450702911,2.75 in/69.9 mm,5.8 in/147.3 mm,3.81 in/96.8 mm,6.88 in/174.8 mm,8.63 in/219.2 mm,10.25 in/260.4 mm,2.9 in/73.7 mm,1.25 in/31.8 mm,0.625 in/16 mm,1.24 in/31.5 mm,3.6 in/91.4 mm,2.15 in/54.6 mm,0.21 in/5.3 mm,3.39 in/86.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0016,0.0026,0.0016 in/0.040 mm,0.0026 in/0.065 mm
