Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Locking Style,Housing Construction,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension M,Dimension S,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max,Full Timken Part Number,UPC Code
TAPN11K200S,22211 ,2 in,2.75 in / 69.9 mm,6.5 in / 165.1 mm,8.7 in / 221 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.75 in/69.9 mm,5.33 in/135.4 mm,2.95 in/74.9 mm,6.5 in/165.1 mm,8.7 in/221 mm,9.88 in/251 mm,2.38 in/60.5 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.59 in/65.8 mm,1.4 in/35.6 mm,2.32 in/58.9 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,TAPN11K200SB/TAPN11K200SC/TAPN11K200SEB/TAPN11K200SEC/TAPN11K200SEM/TAPN11K200SEN/TAPN11K200SEO/TAPN11K200SET/TAPN11K200SM/TAPN11K200SN/TAPN11K200SO/TAPN11K200ST,0883450132329/0883450132336/0883450132350/0883450132367/0883450132374/0883450132381/0883450132398/0883450132404/0883450197243/0883450197458/0883450274753/0883450274951
TASD11K200S,22211 ,2 in,3.25 in / 82.6 mm,8.25 in / 209.6 mm,9.25 in / 235 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.25 in/82.6 mm,5.83 in/148.1 mm,2.95 in/74.9 mm,8.25 in/209.6 mm,9.25 in/235 mm,11 in/279.4 mm,2.26 in/57.5 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.53 in/64.3 mm,1.4 in/35.6 mm,2.32 in/58.9 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,,
TADI11K200S,22211 ,2 in,2.88 in / 73.2 mm,7.38 in / 187.5 mm,7.94 in / 201.7 mm,31900 lbf / 142000 N,31400 lbf / 140000 N,,Mounted Bearing,22211,2 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.88 in/73.2 mm,5.46 in/138.7 mm,2.95 in/74.9 mm,7.38 in/187.5 mm,7.94 in/201.7 mm,10 in/254 mm,2.26 in/57.5 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.53 in/64.3 mm,1.4 in/35.6 mm,2.32 in/58.9 mm,31900 lbf/142000 N,31400 lbf/140000 N,0.23,2.95,4.40,2200 rpm,3800 rpm,1800 rpm,2200 rpm,3200 rpm,1600 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,TADI11K200SB/TADI11K200SC/TADI11K200SEB/TADI11K200SEC/TADI11K200SEM/TADI11K200SEN/TADI11K200SEO/TADI11K200SET/TADI11K200SM/TADI11K200SN/TADI11K200SO/TADI11K200ST,
DVP13K203S,22213 ,2 3/16 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.87 in / 199.9 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.5 in/63.5 mm,5.47 in/138.9 mm,3.35 in/85.1 mm,6.5 in/165.1 mm,7.87 in/199.9 mm,9.63 in/244.6 mm,2.78 in/70.6 mm,1.29 in/32.8 mm,0.625 in/16 mm,2.95 in/74.9 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,DVP13K203SB/DVP13K203SC/DVP13K203SEB/DVP13K203SEC/DVP13K203SEM/DVP13K203SEN/DVP13K203SEO/DVP13K203SET/DVP13K203SM/DVP13K203SN/DVP13K203SO/DVP13K203ST,0883450007924/0883450007931/0883450007955/0883450007962/0883450007979/0883450007986/0883450007993/0883450008006/0883450195669/0883450195867/0883450273176/0883450273374
TAPA13K203S,22213 ,2 3/16 in,3 in / 76.2 mm,7.2 in / 182.9 mm,9.2 in / 233.7 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3 in/76.2 mm,5.95 in/151.1 mm,3.35 in/85.1 mm,7.2 in/182.9 mm,9.2 in/233.7 mm,10.61 in/269.5 mm,2.7 in/68.6 mm,1.23 in/31.2 mm,0.625 in/16 mm,2.91 in/73.9 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,TAPA13K203SB/TAPA13K203SC/TAPA13K203SEB/TAPA13K203SEC/TAPA13K203SEM/TAPA13K203SEN/TAPA13K203SEO/TAPA13K203SET/TAPA13K203SM/TAPA13K203SN/TAPA13K203SO/TAPA13K203ST,0883450124775/0883450124782/0883450124805/0883450124812/0883450124829/0883450124836/0883450124843/0883450124850/0883450197670/0883450197878/0883450275170/0883450275378
TAPKT13K203S,22213 ,2 3/16 in,3 in / 76.2 mm,7.66 in / 194.6 mm,8.78 in / 223 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3 in/76.2 mm,6.05 in/153.7 mm,3.35 in/85.1 mm,7.66 in/194.6 mm,8.78 in/223 mm,11.25 in/285.8 mm,2.9 in/73.7 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.01 in/76.5 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,TAPKT13K203SB/TAPKT13K203SC/TAPKT13K203SEB/TAPKT13K203SEC/TAPKT13K203SEM/TAPKT13K203SEN/TAPKT13K203SEO/TAPKT13K203SET/TAPKT13K203SM/TAPKT13K203SN/TAPKT13K203SO/TAPKT13K203ST,0883450308397/0883450308403/0883450308410/0883450308427/0883450308434/0883450308441/0883450308458/0883450308465/0883450308472/0883450308489/0883450308496/0883450308502
TAPN13K203S,22213 ,2 3/16 in,3.15 in / 80 mm,7.2 in / 182.9 mm,9.2 in / 233.7 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.15 in/80 mm,6.1 in/154.9 mm,3.35 in/85.1 mm,7.2 in/182.9 mm,9.2 in/233.7 mm,10.31 in/261.9 mm,2.7 in/68.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,2.91 in/73.9 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,TAPN13K203SB/TAPN13K203SC/TAPN13K203SEB/TAPN13K203SEC/TAPN13K203SEM/TAPN13K203SEN/TAPN13K203SEO/TAPN13K203SET/TAPN13K203SM/TAPN13K203SN/TAPN13K203SO/TAPN13K203ST,0883450132527/0883450132534/0883450132558/0883450132565/0883450132572/0883450132589/0883450132596/0883450132602/0883450197267/0883450197472/0883450274777/0883450274975
TASD13K203S,22213 ,2 3/16 in,3.75 in / 95.3 mm,9.13 in / 231.9 mm,10.38 in / 263.7 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.75 in/95.3 mm,6.7 in/170.2 mm,3.35 in/85.1 mm,9.13 in/231.9 mm,10.38 in/263.7 mm,12 in/304.8 mm,2.78 in/70.7 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.95 in/75 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,,
TADI13K203S,22213 ,2 3/16 in,3 in / 76.2 mm,8 in / 203.2 mm,9.25 in / 235 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3 in/76.2 mm,5.95 in/151.1 mm,3.35 in/85.1 mm,8 in/203.2 mm,9.25 in/235 mm,11 in/279.4 mm,2.78 in/70.71 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.06 in/77.7 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,TADI13K203SB/TADI13K203SC/TADI13K203SEB/TADI13K203SEC/TADI13K203SEM/TADI13K203SEN/TADI13K203SEO/TADI13K203SET/TADI13K203SM/TADI13K203SN/TADI13K203SO/TADI13K203ST,
DVP13K204S,22213 ,2 1/4 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.87 in / 199.9 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.5 in/63.5 mm,5.47 in/138.9 mm,3.35 in/85.1 mm,6.5 in/165.1 mm,7.87 in/199.9 mm,9.63 in/244.6 mm,2.78 in/70.6 mm,1.29 in/32.8 mm,0.625 in/16 mm,2.95 in/74.9 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,DVP13K204SB/DVP13K204SC/DVP13K204SEB/DVP13K204SEC/DVP13K204SEM/DVP13K204SEN/DVP13K204SEO/DVP13K204SET/DVP13K204SM/DVP13K204SN/DVP13K204SO/DVP13K204ST,0883450008020/0883450008037/0883450008051/0883450008068/0883450008075/0883450008082/0883450008099/0883450008105/0883450195676/0883450195874/0883450273183/0883450273381
TAPA13K204S,22213 ,2 1/4 in,3 in / 76.2 mm,7.2 in / 182.9 mm,9.2 in / 233.7 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3 in/76.2 mm,5.95 in/151.1 mm,3.35 in/85.1 mm,7.2 in/182.9 mm,9.2 in/233.7 mm,10.61 in/269.5 mm,2.7 in/68.6 mm,1.23 in/31.2 mm,0.625 in/16 mm,2.91 in/73.9 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,TAPA13K204SB/TAPA13K204SC/TAPA13K204SEB/TAPA13K204SEC/TAPA13K204SEM/TAPA13K204SEN/TAPA13K204SEO/TAPA13K204SET/TAPA13K204SM/TAPA13K204SN/TAPA13K204SO/TAPA13K204ST,0883450124874/0883450124881/0883450124904/0883450124911/0883450124928/0883450124935/0883450124942/0883450124959/0883450197687/0883450197885/0883450275187/0883450275385
TAPKT13K204S,22213 ,2 1/4 in,3 in / 76.2 mm,7.66 in / 194.6 mm,8.78 in / 223 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3 in/76.2 mm,6.05 in/153.7 mm,3.35 in/85.1 mm,7.66 in/194.6 mm,8.78 in/223 mm,11.25 in/285.8 mm,2.9 in/73.7 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.01 in/76.5 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,TAPKT13K204SB/TAPKT13K204SC/TAPKT13K204SEB/TAPKT13K204SEC/TAPKT13K204SEM/TAPKT13K204SEN/TAPKT13K204SEO/TAPKT13K204SET/TAPKT13K204SM/TAPKT13K204SN/TAPKT13K204SO/TAPKT13K204ST,0883450308519/0883450308526/0883450308533/0883450308540/0883450308557/0883450308564/0883450308571/0883450308588/0883450308595/0883450308601/0883450308618/0883450308625
TAPN13K204S,22213 ,2 1/4 in,3.15 in / 80 mm,7.2 in / 182.9 mm,9.2 in / 233.7 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.15 in/80 mm,6.1 in/154.9 mm,3.35 in/85.1 mm,7.2 in/182.9 mm,9.2 in/233.7 mm,10.31 in/261.9 mm,2.7 in/68.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,2.91 in/73.9 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,TAPN13K204SB/TAPN13K204SC/TAPN13K204SEB/TAPN13K204SEC/TAPN13K204SEM/TAPN13K204SEN/TAPN13K204SEO/TAPN13K204SET/TAPN13K204SM/TAPN13K204SN/TAPN13K204SO/TAPN13K204ST,0883450132626/0883450132633/0883450132657/0883450132664/0883450132671/0883450132688/0883450132695/0883450132701/0883450197274/0883450197489/0883450274784/0883450274982
TASD13K204S,22213 ,2 1/4 in,3.75 in / 95.3 mm,9.13 in / 231.9 mm,10.38 in / 263.7 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.75 in/95.3 mm,6.7 in/170.2 mm,3.35 in/85.1 mm,9.13 in/231.9 mm,10.38 in/263.7 mm,12 in/304.8 mm,2.78 in/70.7 mm,1.25 in/31.8 mm,0.625 in/16 mm,2.95 in/75 mm,1.56 in/39.6 mm,2.56 in/65 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,,
TADI13K204S,22213 ,2 1/4 in,3.25 in / 82.6 mm,9.25 in / 235 mm,10.25 in / 260.4 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.25 in/82.6 mm,6.43 in/163.3 mm,3.35 in/85.1 mm,9.25 in/235 mm,10.25 in/260.4 mm,12 in/304.8 mm,2.78 in/70.71 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.23 in/82 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.050 in/1.270 mm,0.0030 in/0.076 mm,,,0.0030 in/0.075 mm,0.0037 in/0.094 mm,TADI13K204SB/TADI13K204SC/TADI13K204SEB/TADI13K204SEC/TADI13K204SEM/TADI13K204SEN/TADI13K204SEO/TADI13K204SET/TADI13K204SM/TADI13K204SN/TADI13K204SO/TADI13K204ST,
DVP15K207S,22215 ,2 7/16 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,8.63 in / 219.2 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.75 in/69.9 mm,5.9 in/149.9 mm,3.86 in/98 mm,6.88 in/174.8 mm,8.63 in/219.2 mm,10.25 in/260.4 mm,2.7 in/68.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.08 in/78.2 mm,1.73 in/43.9 mm,2.89 in/73.4 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm,DVP15K207SB/DVP15K207SC/DVP15K207SEB/DVP15K207SEC/DVP15K207SEM/DVP15K207SEN/DVP15K207SEO/DVP15K207SET/DVP15K207SM/DVP15K207SN/DVP15K207SO/DVP15K207ST,0883450008228/0883450008235/0883450008259/0883450008266/0883450008273/0883450008280/0883450008297/0883450008303/0883450195690/0883450195898/0883450273206/0883450273404
TAPA15K207S,22215 ,2 7/16 in,3.25 in / 82.6 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.25 in/82.6 mm,6.43 in/163.3 mm,3.86 in/98 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,10.88 in/276.4 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.08 in/78.2 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm,TAPA15K207SB/TAPA15K207SC/TAPA15K207SEB/TAPA15K207SEC/TAPA15K207SEM/TAPA15K207SEN/TAPA15K207SEO/TAPA15K207SET/TAPA15K207SM/TAPA15K207SN/TAPA15K207SO/TAPA15K207ST,0883450125079/0883450125086/0883450125109/0883450125116/0883450125123/0883450125130/0883450125147/0883450125154/0883450197700/0883450197908/0883450275200/0883450275408
TAPKT15K207S,22215 ,2 7/16 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.5 in/88.9 mm,6.84 in/173.7 mm,3.86 in/98 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,13 in/330.2 mm,2.91 in/73.9 mm,1.38 in/35.1 mm,0.875 in/24 mm,3.22 in/81.8 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm,TAPKT15K207SB/TAPKT15K207SC/TAPKT15K207SEB/TAPKT15K207SEC/TAPKT15K207SEM/TAPKT15K207SEN/TAPKT15K207SEO/TAPKT15K207SET/TAPKT15K207SM/TAPKT15K207SN/TAPKT15K207SO/TAPKT15K207ST,0883450086011/0883450086042/0883450276351/0883450276429/0883450278096/0883450278164/0883450278232/0883450278300/0883450278379/0883450278447/0883450278515/0883450278584
TAPN15K207S,22215 ,2 7/16 in,3.15 in / 80 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.15 in/80 mm,6.33 in/160.8 mm,3.86 in/98 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,10.88 in/276.4 mm,2.7 in/68.6 mm,1.15 in/29.2 mm,0.625 in/16 mm,3.08 in/78.2 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm,TAPN15K207SB/TAPN15K207SC/TAPN15K207SEB/TAPN15K207SEC/TAPN15K207SEM/TAPN15K207SEN/TAPN15K207SEO/TAPN15K207SET/TAPN15K207SM/TAPN15K207SN/TAPN15K207SO/TAPN15K207ST,0883450132824/0883450132831/0883450132855/0883450132862/0883450132879/0883450132886/0883450132893/0883450132909/0883450197298/0883450197502/0883450274807/0883450275002
TASD15K207S,22215 ,2 7/16 in,4 in / 101.6 mm,10 in / 254 mm,11.5 in / 292.1 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,4 in/101.6 mm,7.18 in/182.4 mm,3.86 in/98 mm,10 in/254 mm,11.5 in/292.1 mm,13.25 in/336.6 mm,2.78 in/70.7 mm,1.25 in/31.8 mm,0.75 in/20 mm,3.12 in/79.3 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm,,
TADI15K207S,22215 ,2 7/16 in,3.25 in / 82.6 mm,9.25 in / 235 mm,10.25 in / 260.4 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 7/16 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.25 in/82.6 mm,6.43 in/163.3 mm,3.86 in/98 mm,9.25 in/235 mm,10.25 in/260.4 mm,12 in/304.8 mm,2.78 in/70.71 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.23 in/82 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm,TADI15K207SB/TADI15K207SC/TADI15K207SEB/TADI15K207SEC/TADI15K207SEM/TADI15K207SEN/TADI15K207SEO/TADI15K207SET/TADI15K207SM/TADI15K207SN/TADI15K207SO/TADI15K207ST,
DVP15K208S,22215 ,2 1/2 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,8.63 in / 219.2 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 1/2 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,2.75 in/69.9 mm,5.9 in/149.9 mm,3.86 in/98 mm,6.88 in/174.8 mm,8.63 in/219.2 mm,10.25 in/260.4 mm,2.7 in/68.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.08 in/78.2 mm,1.73 in/43.9 mm,2.89 in/73.4 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm,DVP15K208SB/DVP15K208SC/DVP15K208SEB/DVP15K208SEC/DVP15K208SEM/DVP15K208SEN/DVP15K208SEO/DVP15K208SET/DVP15K208SM/DVP15K208SN/DVP15K208SO/DVP15K208ST,0883450008327/0883450008334/0883450008358/0883450008365/0883450008372/0883450008389/0883450008396/0883450008402/0883450195706/0883450195904/0883450273213/0883450273411
TAPA15K208S,22215 ,2 1/2 in,3.25 in / 82.6 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 1/2 in,Imperial,Tapered Adapter,Two-Bolt Pillow Block,3.25 in/82.6 mm,6.43 in/163.3 mm,3.86 in/98 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,10.88 in/276.4 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.08 in/78.2 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm,TAPA15K208SB/TAPA15K208SC/TAPA15K208SEB/TAPA15K208SEC/TAPA15K208SEM/TAPA15K208SEN/TAPA15K208SEO/TAPA15K208SET/TAPA15K208SM/TAPA15K208SN/TAPA15K208SO/TAPA15K208ST,0883450125178/0883450125185/0883450125208/0883450125215/0883450125222/0883450125239/0883450125246/0883450125253/0883450197717/0883450197915/0883450275217/0883450275415
