Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RVV,Dimension SVV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVVPL12V203S,22212 ,2 3/16 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.06 in / 179.3 mm,39000 lbf / 174000 N,38100 lbf / 169000 N,,Mounted Bearing,22212,2 3/16 in,Imperial,QVVPL12V203SB/QVVPL12V203SC/QVVPL12V203SEB/QVVPL12V203SEC/QVVPL12V203SEM/QVVPL12V203SEN/QVVPL12V203SEO/QVVPL12V203SET/QVVPL12V203SM/QVVPL12V203SN/QVVPL12V203SO/QVVPL12V203ST,Double V-Lock,Two-Bolt Pillow Block,0883450096911/0883450097345/0883450107402/0883450107549/0883450114271/0883450114400/0883450128391/0883450128865/0883450137980/0883450138079/0883450357500/0883450357753,2.5 in/63.5 mm,5.25 in/133.4 mm,3.16 in/80.3 mm,6.5 in/165.1 mm,7.06 in/179.3 mm,8.88 in/225.6 mm,2.58 in/65.5 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.3 in/83.8 mm,0.72 in/18.3 mm,4.02 in/102.1 mm,39000 lbf/174000 N,38100 lbf/169000 N,0.24,2.84,4.23,2000 rpm,3500 rpm,1650 rpm,2000 rpm,3000 rpm,1550 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPN13V203S,22213 ,2 3/16 in,3.15 in / 80 mm,7.2 in / 182.9 mm,9.2 in / 233.7 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 3/16 in,Imperial,QVVPN13V203SB/QVVPN13V203SC/QVVPN13V203SEB/QVVPN13V203SEC/QVVPN13V203SEM/QVVPN13V203SEN/QVVPN13V203SEO/QVVPN13V203SET/QVVPN13V203SM/QVVPN13V203SN/QVVPN13V203SO/QVVPN13V203ST/QVVPN13V203STNG,Double V-Lock,Two-Bolt Pillow Block,0883450329255/0883450329286/0883450329316/0883450329347/0883450329477/0883450329507/0883450329538/0883450329569/0883450329750/0883450329781/0883450329811/0883450329842/0883450432191,3.15 in/80 mm,6.1 in/154.9 mm,3.16 in/80.3 mm,7.2 in/182.9 mm,9.2 in/233.7 mm,10.31 in/261.9 mm,2.7 in/68.6 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.66 in/16.8 mm,4.02 in/102.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVSN12V203S,22212 ,2 3/16 in,2.76 in / 70 mm,7.2 in / 183 mm,8.5 in / 216 mm,39000 lbf / 174000 N,38100 lbf / 169000 N,,Mounted Bearing,22212,2 3/16 in,Imperial,QVVSN12V203SB/QVVSN12V203SC/QVVSN12V203SEB/QVVSN12V203SEC/QVVSN12V203SEM/QVVSN12V203SEN/QVVSN12V203SEO/QVVSN12V203SET/QVVSN12V203SM/QVVSN12V203SN/QVVSN12V203SO/QVVSN12V203ST,Double V-Lock,Two-Bolt Pillow Block,0883450087841/0883450099110/0883450099646/0883450108065/0883450108263/0883450114905/0883450115148/0883450130417/0883450130547/0883450138529/0883450138833/0883450358095,2.76 in/70 mm,5.55 in/141 mm,3.15 in/80 mm,7.2 in/183 mm,8.5 in/216 mm,10 in/254 mm,2.68 in/68 mm,1 in/25 mm,0.625 in/16 mm,3.35 in/85 mm,0.67 in/17 mm,4.02 in/102 mm,39000 lbf/174000 N,38100 lbf/169000 N,0.24,2.84,4.23,2000 rpm,3500 rpm,1650 rpm,2000 rpm,3000 rpm,1550 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVP12V204S,22212 ,2 1/4 in,2.5 in / 63.5 mm,6.5 in / 165.1 mm,7.88 in / 200.2 mm,39000 lbf / 174000 N,38100 lbf / 169000 N,,Mounted Bearing,22212,2 1/4 in,Imperial,QVVP12V204SB/QVVP12V204SC/QVVP12V204SEB/QVVP12V204SEC/QVVP12V204SEM/QVVP12V204SEN/QVVP12V204SEO/QVVP12V204SET/QVVP12V204SM/QVVP12V204SN/QVVP12V204SO/QVVP12V204ST,Double V-Lock,Two-Bolt Pillow Block,0883450032476/0883450032582/0883450095143/0883450095617/0883450106894/0883450107020/0883450113601/0883450113885/0883450126663/0883450127097/0883450137638/0883450137720,2.5 in/63.5 mm,5.25 in/133.4 mm,3.16 in/80.3 mm,6.5 in/165.1 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,2.63 in/66.8 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.33 in/84.6 mm,0.70 in/17.8 mm,4.02 in/102.1 mm,39000 lbf/174000 N,38100 lbf/169000 N,0.24,2.84,4.23,2000 rpm,3500 rpm,1650 rpm,2000 rpm,3000 rpm,1550 rpm,0.050 in/1.270 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPA13V204S,22213 ,2 1/4 in,3 in / 76.2 mm,7.2 in / 182.9 mm,9.2 in / 233.7 mm,48600 lbf / 216000 N,46400 lbf / 206000 N,,Mounted Bearing,22213,2 1/4 in,Imperial,QVVPA13V204SB/QVVPA13V204SC/QVVPA13V204SEB/QVVPA13V204SEC/QVVPA13V204SEM/QVVPA13V204SEN/QVVPA13V204SEO/QVVPA13V204SET/QVVPA13V204SM/QVVPA13V204SN/QVVPA13V204SO/QVVPA13V204ST,Double V-Lock,Two-Bolt Pillow Block,0883450146661/0883450146913/0883450152129/0883450152273/0883450169493/0883450174428/0883450183253/0883450183482/0883450260879/0883450263337/0883450282086/0883450282239,3 in/76.2 mm,5.95 in/151.1 mm,3.16 in/80.3 mm,7.2 in/182.9 mm,9.2 in/233.7 mm,10.31 in/261.9 mm,2.7 in/68.6 mm,1.23 in/31.2 mm,0.625 in/16 mm,3.36 in/85.3 mm,0.66 in/16.8 mm,4.02 in/102.1 mm,48600 lbf/216000 N,46400 lbf/206000 N,0.24,2.79,4.15,1800 rpm,3200 rpm,1500 rpm,1800 rpm,2800 rpm,1500 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPXT14V207S,22214 ,2 7/16 in,3 in / 76.2 mm,7.66 in / 194.6 mm,8.78 in / 233 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,2 7/16 in,Imperial,QVVPXT14V207SB/QVVPXT14V207SC/QVVPXT14V207SEB/QVVPXT14V207SEC/QVVPXT14V207SEM/QVVPXT14V207SEN/QVVPXT14V207SEO/QVVPXT14V207SET/QVVPXT14V207SM/QVVPXT14V207SN/QVVPXT14V207SO/QVVPXT14V207ST,Double V-Lock,Two-Bolt Pillow Block,0883450374255/0883450374262/0883450374279/0883450374286/0883450374293/0883450374309/0883450374323/0883450374330/0883450374347/0883450374354/0883450374361/0883450374378,3 in/76.2 mm,6.05 in/153.7 mm,3.7 in/94 mm,7.66 in/194.6 mm,8.78 in/233 mm,11.25 in/285.8 mm,2.9 in/73.7 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.5 in/88.9 mm,0.6 in/15.2 mm,4.09 in/103.9 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVSN14V207S,22214 ,2 7/16 in,3.15 in / 80 mm,7.72 in / 196 mm,9.25 in / 235 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,2 7/16 in,Imperial,QVVSN14V207SB/QVVSN14V207SC/QVVSN14V207SEB/QVVSN14V207SEC/QVVSN14V207SEM/QVVSN14V207SEN/QVVSN14V207SEO/QVVSN14V207SET/QVVSN14V207SM/QVVSN14V207SN/QVVSN14V207SO/QVVSN14V207ST/QVVSN14V207STNG,Double V-Lock,Two-Bolt Pillow Block,0883450146883/0883450146890/0883450146920/0883450146937/0883450177580/0883450178068/0883450205177/0883450205559/0883450217590/0883450217972/0883450230018/0883450230391/0883450961127,3.15 in/80 mm,6.18 in/157 mm,3.7 in/94 mm,7.72 in/196 mm,9.25 in/235 mm,10.83 in/275 mm,2.91 in/74 mm,1.38 in/35 mm,0.625 in/16 mm,3.5 in/89 mm,0.59 in/15 mm,4.09 in/104 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.24,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVP14V208S,22214 ,2 1/2 in,2.75 in / 69.9 mm,6.88 in / 174.8 mm,8.63 in / 219.2 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,2 1/2 in,Imperial,QVVP14V208SB/QVVP14V208SC/QVVP14V208SEB/QVVP14V208SEC/QVVP14V208SEM/QVVP14V208SEN/QVVP14V208SENNP/QVVP14V208SEO/QVVP14V208SET/QVVP14V208SM/QVVP14V208SN/QVVP14V208SNNP/QVVP14V208SO/QVVP14V208ST,Double V-Lock,Two-Bolt Pillow Block,0883450170741/0883450170932/0883450171113/0883450171496/0883450171687/0883450171878/0883450202268/0883450202640/0883450214681/0883450215060/0883450227100/0883450227483/0883450502214/0883450502221,2.75 in/69.9 mm,5.8 in/147.3 mm,3.7 in/94 mm,6.88 in/174.8 mm,8.63 in/219.2 mm,10.25 in/260.4 mm,2.9 in/73.7 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.5 in/88.9 mm,0.6 in/15.2 mm,4.09 in/103.9 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPA15V208S,22215 ,2 1/2 in,3.25 in / 82.6 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 1/2 in,Imperial,QVVPA15V208SB/QVVPA15V208SC/QVVPA15V208SEB/QVVPA15V208SEC/QVVPA15V208SEM/QVVPA15V208SEN/QVVPA15V208SEO/QVVPA15V208SET/QVVPA15V208SM/QVVPA15V208SN/QVVPA15V208SO/QVVPA15V208ST,Double V-Lock,Two-Bolt Pillow Block,0883450072618/0883450072649/0883450208512/0883450208666/0883450220941/0883450221092/0883450233378/0883450233521/0883450242110/0883450242264/0883450247078/0883450247221,3.25 in/82.6 mm,6.43 in/163.3 mm,3.7 in/94 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,10.88 in/276.4 mm,2.7 in/68.6 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.4 in/86.4 mm,0.70 in/17.8 mm,4.09 in/103.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPKT15V208S,22215 ,2 1/2 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 1/2 in,Imperial,QVVPKT15V208SB/QVVPKT15V208SC/QVVPKT15V208SEB/QVVPKT15V208SEC/QVVPKT15V208SEM/QVVPKT15V208SEN/QVVPKT15V208SEO/QVVPKT15V208SET/QVVPKT15V208SM/QVVPKT15V208SN/QVVPKT15V208SO/QVVPKT15V208ST,Double V-Lock,Two-Bolt Pillow Block,0883450078245/0883450078313/0883450209410/0883450209489/0883450221849/0883450221887/0883450234276/0883450234344/0883450243018/0883450243056/0883450247979/0883450248013,3.5 in/88.9 mm,6.84 in/173.7 mm,3.7 in/94 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,13 in/330.2 mm,2.98 in/75.7 mm,1.38 in/35.1 mm,0.875 in/22 mm,3.54 in/89.9 mm,0.56 in/14.2 mm,4.09 in/103.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPL14V208S,22214 ,2 1/2 in,2.75 in / 69.9 mm,6.81 in / 173 mm,7.44 in / 189 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,2 1/2 in,Imperial,QVVPL14V208SB/QVVPL14V208SC/QVVPL14V208SEB/QVVPL14V208SEC/QVVPL14V208SEM/QVVPL14V208SEN/QVVPL14V208SEO/QVVPL14V208SET/QVVPL14V208SM/QVVPL14V208SN/QVVPL14V208SO/QVVPL14V208ST,Double V-Lock,Two-Bolt Pillow Block,0883450172257/0883450172448/0883450172639/0883450173018/0883450173209/0883450173391/0883450203029/0883450203401/0883450215442/0883450215824/0883450227865/0883450228244,2.75 in/69.9 mm,5.8 in/147.3 mm,3.7 in/94 mm,6.81 in/173 mm,7.44 in/189 mm,9.25 in/235 mm,2.9 in/73.7 mm,1.38 in/35.1 mm,0.625 in/16 mm,3.5 in/88.9 mm,0.6 in/15.2 mm,4.09 in/103.9 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPN15V208S,22215 ,2 1/2 in,3.15 in / 80 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 1/2 in,Imperial,QVVPN15V208SB/QVVPN15V208SC/QVVPN15V208SEB/QVVPN15V208SEC/QVVPN15V208SEM/QVVPN15V208SEN/QVVPN15V208SEO/QVVPN15V208SET/QVVPN15V208SM/QVVPN15V208SN/QVVPN15V208SO/QVVPN15V208ST,Double V-Lock,Two-Bolt Pillow Block,0883450079877/0883450079945/0883450208222/0883450208369/0883450220644/0883450220798/0883450233071/0883450233224/0883450241816/0883450241960/0883450246774/0883450246927,3.15 in/80 mm,6.33 in/160.8 mm,3.7 in/94 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,10.88 in/276.4 mm,2.7 in/68.6 mm,1.15 in/29.2 mm,0.625 in/16 mm,3.4 in/86.4 mm,0.70 in/17.8 mm,4.09 in/103.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVPXT14V208S,22214 ,2 1/2 in,3 in / 76.2 mm,7.66 in / 194.6 mm,8.78 in / 233 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,2 1/2 in,Imperial,QVVPXT14V208SB/QVVPXT14V208SC/QVVPXT14V208SEB/QVVPXT14V208SEC/QVVPXT14V208SEM/QVVPXT14V208SEN/QVVPXT14V208SEO/QVVPXT14V208SET/QVVPXT14V208SM/QVVPXT14V208SN/QVVPXT14V208SO/QVVPXT14V208ST,Double V-Lock,Two-Bolt Pillow Block,0883450374385/0883450374392/0883450374408/0883450374415/0883450374422/0883450374439/0883450374446/0883450374453/0883450374460/0883450374477/0883450374484/0883450374491,3 in/76.2 mm,6.05 in/153.7 mm,3.7 in/94 mm,7.66 in/194.6 mm,8.78 in/233 mm,11.25 in/285.8 mm,2.9 in/73.7 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.5 in/88.9 mm,0.6 in/15.2 mm,4.09 in/103.9 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.23,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVSN14V208S,22214 ,2 1/2 in,3.15 in / 80 mm,7.72 in / 196 mm,9.25 in / 235 mm,52000 lbf / 231000 N,47800 lbf / 213000 N,,Mounted Bearing,22214,2 1/2 in,Imperial,QVVSN14V208SB/QVVSN14V208SC/QVVSN14V208SEB/QVVSN14V208SEC/QVVSN14V208SEM/QVVSN14V208SEN/QVVSN14V208SEO/QVVSN14V208SET/QVVSN14V208SM/QVVSN14V208SN/QVVSN14V208SO/QVVSN14V208ST/QVVSN14V208STNG,Double V-Lock,Two-Bolt Pillow Block,0883450146982/0883450146999/0883450147026/0883450147033/0883450177597/0883450178075/0883450205184/0883450205566/0883450217606/0883450217989/0883450230025/0883450230407/0883450501422,3.15 in/80 mm,6.18 in/157 mm,3.7 in/94 mm,7.72 in/196 mm,9.25 in/235 mm,10.83 in/275 mm,2.91 in/74 mm,1.38 in/35 mm,0.625 in/16 mm,3.5 in/89 mm,0.59 in/15 mm,4.09 in/104 mm,52000 lbf/231000 N,47800 lbf/213000 N,0.24,2.90,4.32,1700 rpm,3050 rpm,1400 rpm,1700 rpm,2600 rpm,1400 rpm,0.083 in/2.108 mm,0.0015 in/0.038 mm,0.0030,0.0037,0.0030 in/0.075 mm,0.0037 in/0.094 mm
QVVP16V211S,22216 ,2 11/16 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 11/16 in,Imperial,QVVP16V211SB/QVVP16V211SC/QVVP16V211SEB/QVVP16V211SEC/QVVP16V211SEM/QVVP16V211SEN/QVVP16V211SEO/QVVP16V211SET/QVVP16V211SM/QVVP16V211SN/QVVP16V211SO/QVVP16V211ST,Double V-Lock,Two-Bolt Pillow Block,0883450170765/0883450170956/0883450171137/0883450171519/0883450171700/0883450171892/0883450202282/0883450202664/0883450214704/0883450215084/0883450227124/0883450227506,3.13 in/79.5 mm,6.47 in/164.3 mm,4.19 in/106.4 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPA17V211S,22217 ,2 11/16 in,3.75 in / 95.3 mm,9.5 in / 241.3 mm,11 in / 279.4 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,2 11/16 in,Imperial,QVVPA17V211SB/QVVPA17V211SC/QVVPA17V211SEB/QVVPA17V211SEC/QVVPA17V211SEM/QVVPA17V211SEN/QVVPA17V211SEO/QVVPA17V211SET/QVVPA17V211SM/QVVPA17V211SN/QVVPA17V211SO/QVVPA17V211ST,Double V-Lock,Two-Bolt Pillow Block,0883450146715/0883450146968/0883450152150/0883450152303/0883450169554/0883450174459/0883450183369/0883450183512/0883450261180/0883450263528/0883450282116/0883450282260,3.75 in/95.3 mm,7.32 in/185.9 mm,4.19 in/106.4 mm,9.5 in/241.3 mm,11 in/279.4 mm,12.63 in/320.8 mm,3 in/76.2 mm,1.33 in/33.8 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPL16V211S,22216 ,2 11/16 in,3.25 in / 82.6 mm,7.7 in / 195.6 mm,8.4 in / 213.4 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 11/16 in,Imperial,QVVPL16V211SB/QVVPL16V211SC/QVVPL16V211SEB/QVVPL16V211SEC/QVVPL16V211SEM/QVVPL16V211SEN/QVVPL16V211SEO/QVVPL16V211SET/QVVPL16V211SM/QVVPL16V211SN/QVVPL16V211SO/QVVPL16V211ST,Double V-Lock,Two-Bolt Pillow Block,0883450172271/0883450172462/0883450172653/0883450173032/0883450173223/0883450173414/0883450203043/0883450203425/0883450215466/0883450215848/0883450227889/0883450228268,3.25 in/82.6 mm,6.59 in/167.4 mm,4.19 in/106.4 mm,7.7 in/195.6 mm,8.4 in/213.4 mm,10.44 in/265.2 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPXT16V211S,22216 ,2 11/16 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 11/16 in,Imperial,QVVPXT16V211SB/QVVPXT16V211SC/QVVPXT16V211SEB/QVVPXT16V211SEC/QVVPXT16V211SEM/QVVPXT16V211SEN/QVVPXT16V211SEO/QVVPXT16V211SET/QVVPXT16V211SM/QVVPXT16V211SMFG/QVVPXT16V211SN/QVVPXT16V211SO/QVVPXT16V211SONG/QVVPXT16V211ST/QVVPXT16V211STNG,Double V-Lock,Two-Bolt Pillow Block,0883450374743/0883450374750/0883450374767/0883450374774/0883450374781/0883450374798/0883450374804/0883450374811/0883450374828/0883450374835/0883450374842/0883450374859/0883450458542/0883450458566/0883450492393,3.5 in/88.9 mm,6.84 in/173.7 mm,4.19 in/106.4 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,13 in/330.2 mm,2.98 in/75.7 mm,1.38 in/35.1 mm,0.875 in/24 mm,3.58 in/90.9 mm,0.6 in/15.2 mm,4.18 in/106.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVSN16V211S,22216 ,2 11/16 in,3.74 in / 95 mm,9.49 in / 241 mm,10.98 in / 279 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 11/16 in,Imperial,QVVSN16V211SB/QVVSN16V211SC/QVVSN16V211SEB/QVVSN16V211SEC/QVVSN16V211SEM/QVVSN16V211SEN/QVVSN16V211SEO/QVVSN16V211SET/QVVSN16V211SM/QVVSN16V211SN/QVVSN16V211SO/QVVSN16V211ST,Double V-Lock,Two-Bolt Pillow Block,0883450147774/0883450147781/0883450147811/0883450147828/0883450177610/0883450178099/0883450205207/0883450205580/0883450217620/0883450218009/0883450230049/0883450230421,3.74 in/95 mm,7.2 in/183 mm,4.17 in/106 mm,9.49 in/241 mm,10.98 in/279 mm,12.44 in/316 mm,2.99 in/76 mm,1.33 in/34 mm,0.75 in/20 mm,3.58 in/91 mm,0.59 in/15 mm,4.17 in/106 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVP16V212S,22216 ,2 3/4 in,3.13 in / 79.5 mm,7.88 in / 200.2 mm,9.63 in / 244.6 mm,62500 lbf / 278000 N,57200 lbf / 254000 N,,Mounted Bearing,22216,2 3/4 in,Imperial,QVVP16V212SB/QVVP16V212SC/QVVP16V212SEB/QVVP16V212SEC/QVVP16V212SEM/QVVP16V212SEN/QVVP16V212SEO/QVVP16V212SET/QVVP16V212SM/QVVP16V212SN/QVVP16V212SO/QVVP16V212ST,Double V-Lock,Two-Bolt Pillow Block,0883450170772/0883450170963/0883450171144/0883450171526/0883450171717/0883450171908/0883450202299/0883450202671/0883450214711/0883450215091/0883450227131/0883450227513,3.13 in/79.5 mm,6.47 in/164.3 mm,4.19 in/106.4 mm,7.88 in/200.2 mm,9.63 in/244.6 mm,11.63 in/295.4 mm,3 in/76.2 mm,1.38 in/35.1 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,62500 lbf/278000 N,57200 lbf/254000 N,0.22,3.14,4.67,1500 rpm,2650 rpm,1200 rpm,1500 rpm,2200 rpm,1150 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
QVVPA17V212S,22217 ,2 3/4 in,3.75 in / 95.3 mm,9.5 in / 241.3 mm,11 in / 279.4 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,2 3/4 in,Imperial,QVVPA17V212SB/QVVPA17V212SC/QVVPA17V212SEB/QVVPA17V212SEC/QVVPA17V212SEM/QVVPA17V212SEN/QVVPA17V212SEO/QVVPA17V212SET/QVVPA17V212SM/QVVPA17V212SN/QVVPA17V212SO/QVVPA17V212ST,Double V-Lock,Two-Bolt Pillow Block,0883450146708/0883450146951/0883450152143/0883450152297/0883450169530/0883450174442/0883450183352/0883450183505/0883450261173/0883450263351/0883450282109/0883450282253,3.75 in/95.3 mm,7.32 in/185.9 mm,4.19 in/106.4 mm,9.5 in/241.3 mm,11 in/279.4 mm,12.63 in/320.8 mm,3 in/76.2 mm,1.33 in/33.8 mm,0.75 in/20 mm,3.59 in/91.2 mm,0.59 in/15 mm,4.18 in/106.2 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0020 in/0.051 mm,0.0037,0.0047,0.0037 in/0.095 mm,0.0047 in/0.120 mm
