Part Number,Shaft Size,Shaft Size Type,Dimension L,Dimension A,C90 Dynamic Load Rating,Max. Speed,Lubrication,Housing Coating,CAD,Shaft Size,Shaft Size Type,UPC Code,Lubrication,Housing Coating,Dimension B,Dimension L,Dimension A,Dimension J Min.,Dimension J Max.,Bolt Diameter,Dimension N,Dimension N1,Dimension N2,Dimension H1,Dimension H2,Dimension d1,Dimension H,e,X (if Fa/Fr ≤ e),Y (if Fa/Fr ≤ e),X (if Fa/Fr > e),Y (if Fa/Fr > e),K Factor,C90 Dynamic Load Rating1,C0 Static Load Rating,Fa-max Maximum Permissible Thrust Load2,Fr-max Maximum Allowable Slip Fit Radial Load3,Max. Speed4,Note,Type E Closed Cover Number,Dimension Ac,Dimension d2,Type E Open Cover Number
E-P4B-TRB-3 3/16-ECO/ECC,3 3/16 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 3/16 in,Imperial,0883450505963,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",EUC-H,7 in,6.7 in,EUDR-3 3/16
E-P4B-TRB-3 3/16-ECO/ECO,3 3/16 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 3/16 in,Imperial,0883450509190,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,7.1 in,6.7 in,EUDR-3 3/16
E-P4B-TRB-3 3/16-ECO,3 3/16 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 3/16 in,Imperial,0883450507561,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,5.8 in,6.7 in,EUDR-3 3/16
E-P4B-TRB-3 3/16-SLA,3 3/16 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Solid Lube - Food Grade ,E-Coat ,,3 3/16 in,Imperial,,Solid Lube - Food Grade,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-3 3/16-SLJ,3 3/16 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Solid Lube - Food Grade ,E-Coat ,,3 3/16 in,Imperial,,Solid Lube - Food Grade,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-3 1/4,3 1/4 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 1/4 in,Imperial,053893601663,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-3 1/4-ECC,3 1/4 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 1/4 in,Imperial,0883450504317,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",EUC-H,5.7 in,6.7 in,
E-P4B-TRB-3 1/4-ECO/ECC,3 1/4 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 1/4 in,Imperial,0883450505949,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",EUC-H,7 in,6.7 in,EUDR-3 1/4
E-P4B-TRB-3 1/4-ECO/ECO,3 1/4 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 1/4 in,Imperial,0883450509176,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,7.1 in,6.7 in,EUDR-3 1/4
E-P4B-TRB-3 1/4-ECO,3 1/4 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 1/4 in,Imperial,0883450507547,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,5.8 in,6.7 in,EUDR-3 1/4
E-P4B-TRB-3 1/4-SLA,3 1/4 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Solid Lube - Food Grade ,E-Coat ,,3 1/4 in,Imperial,,Solid Lube - Food Grade,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-3 1/4-SLJ,3 1/4 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Solid Lube - Food Grade ,E-Coat ,,3 1/4 in,Imperial,,Solid Lube - Food Grade,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-3 7/16,3 7/16 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 7/16 in,Imperial,053893601915,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-3 7/16-ECC,3 7/16 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 7/16 in,Imperial,0883450504348,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",EUC-H,5.7 in,6.7 in,
E-P4B-TRB-3 7/16-ECO/ECC,3 7/16 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 7/16 in,Imperial,0883450505970,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",EUC-H,7 in,6.7 in,EUDR-3 7/16
E-P4B-TRB-3 7/16-ECO/ECO,3 7/16 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 7/16 in,Imperial,0883450509206,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,7.1 in,6.7 in,EUDR-3 7/16
E-P4B-TRB-3 7/16-ECO,3 7/16 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 7/16 in,Imperial,0883450507578,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,5.8 in,6.7 in,EUDR-3 7/16
E-P4B-TRB-3 7/16-SLA,3 7/16 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Solid Lube - Food Grade ,E-Coat ,,3 7/16 in,Imperial,,Solid Lube - Food Grade,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-3 7/16-SLJ,3 7/16 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Solid Lube - Food Grade ,E-Coat ,,3 7/16 in,Imperial,,Solid Lube - Food Grade,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-3 1/2,3 1/2 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 1/2 in,Imperial,053893601632,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-3 1/2-ECC,3 1/2 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 1/2 in,Imperial,0883450504300,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",EUC-H,5.7 in,6.7 in,
E-P4B-TRB-3 1/2-ECO/ECC,3 1/2 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 1/2 in,Imperial,0883450505932,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",EUC-H,7 in,6.7 in,EUDR-3 1/2
E-P4B-TRB-3 1/2-ECO/ECO,3 1/2 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 1/2 in,Imperial,0883450509169,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,7.1 in,6.7 in,EUDR-3 1/2
E-P4B-TRB-3 1/2-ECO,3 1/2 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,E-Coat ,,3 1/2 in,Imperial,0883450507530,Grease - Premium Industrial,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,5.8 in,6.7 in,EUDR-3 1/2
E-P4B-TRB-3 1/2-SLA,3 1/2 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Solid Lube - Food Grade ,E-Coat ,,3 1/2 in,Imperial,,Solid Lube - Food Grade,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-3 1/2-SLJ,3 1/2 in,Imperial ,13-1/2 in,4-1/2 in,19600 lbf,1640 rpm,Solid Lube - Food Grade ,E-Coat ,,3 1/2 in,Imperial,,Solid Lube - Food Grade,E-Coat,5 in,13-1/2 in,4-1/2 in,10-3/4 in,11-1/4 in,3/4 in,15/16 in,1-3/16 in,2-3/8 in,2-1/4 in,7-1/2 in,5-17/32 in,3-3/4 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-3 15/16,3 15/16 in,Imperial ,15-1/4 in,4-1/2 in,26900 lbf,1530 rpm,Grease - Premium Industrial ,E-Coat ,,3 15/16 in,Imperial,053893601816,Grease - Premium Industrial,E-Coat,6 1/4 in,15-1/4 in,4-1/2 in,12-1/4 in,12-3/4 in,3/4 in,7/8 in,1-1/8 in,2-1/4 in,2-7/16 in,8-1/2 in,6-1/16 in,4-1/4 in,0.49,0.87,1.77,0.7,2.14,1.23,26900 lbf,154000 lbf,6908 lbf,22000 lbf,1530 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,
E-P4B-TRB-3 15/16-ECC,3 15/16 in,Imperial ,15-1/4 in,4-1/2 in,26900 lbf,1530 rpm,Grease - Premium Industrial ,E-Coat ,,3 15/16 in,Imperial,0883450504324,Grease - Premium Industrial,E-Coat,6 1/4 in,15-1/4 in,4-1/2 in,12-1/4 in,12-3/4 in,3/4 in,7/8 in,1-1/8 in,2-1/4 in,2-7/16 in,8-1/2 in,6-1/16 in,4-1/4 in,0.49,0.87,1.77,0.7,2.14,1.23,26900 lbf,154000 lbf,6908 lbf,22000 lbf,1530 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",EUC-I,5.825 in,7.43 in,
