Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,Bolt Hole Spacing - Across,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension MT,Dimension RTT,Dimension ST,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Pre Install Clearance Min,Pre Install Clearance Max
TAA31SN34K514S,23134 ,5.8750 in,6.69 in / 170 mm,16.14 in / 410 mm,17.72 in / 450 mm,3.94 in / 100 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,5.8750 in,Imperial,TAA31SN34K514SB/TAA31SN34K514SC/TAA31SN34K514SEB/TAA31SN34K514SEC/TAA31SN34K514SEM/TAA31SN34K514SEN/TAA31SN34K514SEO/TAA31SN34K514SET/TAA31SN34K514SMT/TAA31SN34K514SNT/TAA31SN34K514SO/TAA31SN34K514ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,6.69 in/170 mm,13.11 in/333 mm,8.66 in/220 mm,16.14 in/410 mm,17.72 in/450 mm,3.94 in/100 mm,20.08 in/510 mm,6.75 in/171.5 mm,2.56 in/65 mm,1 in/24 mm,7.08 in/180 mm,3.73 in/94.7 mm,0.53 in/13.5 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
DAAPF34K514S,23134 ,5.8750 in,6.69 in / 169.9 mm,17.38 in / 441.3 mm,19.13 in / 485.8 mm,3-3/4 in / 95.3 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,5.8750 in,Imperial,,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,6.69 in/169.9 mm,13 in/330.3 mm,8.64 in/219.4 mm,17.38 in/441.3 mm,19.13 in/485.8 mm,3-3/4 in/95.3 mm,22.0 in/558.8 mm,6.75 in/171.5 mm,3 in/76.2 mm,1 in/24 mm,7.05 in/179.1 mm,3.68 in/93.4 mm,0.42 in/10.8 mm,7.35 in/186.7 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAA4SD34K515S,23134 ,5 15/16 in,9 in / 228.6 mm,21.38 in / 543.1 mm,23.63 in / 600.2 mm,5.0 in / 127 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,5 15/16 in,Imperial,TAA4SD34K515SB/TAA4SD34K515SC/TAA4SD34K515SEB/TAA4SD34K515SEC/TAA4SD34K515SEM/TAA4SD34K515SEN/TAA4SD34K515SEO/TAA4SD34K515SET/TAA4SD34K515SMT/TAA4SD34K515SNT/TAA4SD34K515SO/TAA4SD34K515ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,9 in/228.6 mm,15.75 in/400.1 mm,8.66 in/220 mm,21.38 in/543.1 mm,23.63 in/600.2 mm,5.0 in/127 mm,26-3/4 in/679.5 mm,7.51 in/190.8 mm,2.5 in/63.5 mm,1.125 in/24 mm,7.49 in/190.1 mm,3.73 in/94.7 mm,0.59 in/15 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAA4DI34K515S,23134 ,5 15/16 in,7.13 in / 181.1 mm,19 in / 482.6 mm,20.63 in / 524 mm,3 in / 76.2 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,5 15/16 in,Imperial,TAA4DI34K515SB/TAA4DI34K515SC/TAA4DI34K515SEB/TAA4DI34K515SEC/TAA4DI34K515SEM/TAA4DI34K515SEN/TAA4DI34K515SEO/TAA4DI34K515SET/TAA4DI34K515SMT/TAA4DI34K515SNT/TAA4DI34K515SO/TAA4DI34K515ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,7.13 in/181.1 mm,13.88 in/352.6 mm,8.27 in/210 mm,19 in/482.6 mm,20.63 in/524 mm,3 in/76.2 mm,23.69 in/601.7 mm,6.5 in/165.1 mm,2.5 in/63.5 mm,1 in/24 mm,6.68 in/169.6 mm,3.73 in/94.7 mm,0.59 in/15 mm,7.35 in/186.7 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAAPH34K515S,23134 ,5 15/16 in,7.06 in / 179.4 mm,19.38 in / 493.6 mm,21.63 in / 549.4 mm,4-1/4 in / 108 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,5 15/16 in,Imperial,TAAPH34K515SB/TAAPH34K515SC/TAAPH34K515SEB/TAAPH34K515SEC/TAAPH34K515SEM/TAAPH34K515SEN/TAAPH34K515SEO/TAAPH34K515SET/TAAPH34K515SMT/TAAPH34K515SNT/TAAPH34K515SO/TAAPH34K515ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,7.06 in/179.4 mm,13.38 in/339.8 mm,8.66 in/220 mm,19.38 in/493.6 mm,21.63 in/549.4 mm,4-1/4 in/108 mm,24-3/4 in/628.7 mm,6.75 in/171.5 mm,3.38 in/85.9 mm,1 in/24 mm,7.1 in/180 mm,3.73 in/94.7 mm,0.52 in/13.2 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAAPH34DK515S,23134 ,5 15/16 in,7.06 in / 179.3 mm,19.38 in / 492.3 mm,21.63 in / 549.4 mm,5.5 in / 139.7 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,5 15/16 in,Imperial,TAAPH34DK515SB/TAAPH34DK515SC/TAAPH34DK515SEB/TAAPH34DK515SEC/TAAPH34DK515SEM/TAAPH34DK515SEN/TAAPH34DK515SEO/TAAPH34DK515SET/TAAPH34DK515SMT/TAAPH34DK515SNT/TAAPH34DK515SO/TAAPH34DK515ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,7.06 in/179.3 mm,14.6 in/370 mm,7.87 in/199.9 mm,19.38 in/492.3 mm,21.63 in/549.4 mm,5.5 in/139.7 mm,24-3/4 in/628.7 mm,8.5 in/215.9 mm,2.56 in/65 mm,1.25 in/30 mm,7.98 in/203 mm,3.73 in/94.7 mm,0.52 in/13.2 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAAPH634K515S,23134 ,5 15/16 in,8-1/4 in / 209.6 mm,22.5 in / 571.5 mm,25 in / 635 mm,5.0 in / 127 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,5 15/16 in,Imperial,TAAPH634K515SB/TAAPH634K515SC/TAAPH634K515SEB/TAAPH634K515SEC/TAAPH634K515SEM/TAAPH634K515SEN/TAAPH634K515SEO/TAAPH634K515SET/TAAPH634K515SMT/TAAPH634K515SNT/TAAPH634K515SO/TAAPH634K515ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,8-1/4 in/209.6 mm,15.76 in/400.4 mm,8.66 in/220 mm,22.5 in/571.5 mm,25 in/635 mm,5.0 in/127 mm,29-1/2 in/749.3 mm,8.0 in/203.2 mm,2.56 in/65 mm,1.25 in/30 mm,7.73 in/196 mm,3.73 in/94.7 mm,0.53 in/13.5 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAAPH634DK515S,23134 ,5 15/16 in,8-1/4 in / 209.6 mm,23 in / 584.2 mm,25 in / 635 mm,6.75 in / 171.5 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,5 15/16 in,Imperial,TAAPH634DK515SB/TAAPH634DK515SC/TAAPH634DK515SEB/TAAPH634DK515SEC/TAAPH634DK515SEM/TAAPH634DK515SEN/TAAPH634DK515SEO/TAAPH634DK515SET/TAAPH634DK515SMT/TAAPH634DK515SNT/TAAPH634DK515SO/TAAPH634DK515ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,8-1/4 in/209.6 mm,15.76 in/400.4 mm,8.66 in/220 mm,23 in/584.2 mm,25 in/635 mm,6.75 in/171.5 mm,28.75 in/730.3 mm,9.75 in/247.7 mm,2.56 in/65 mm,1.375 in/30 mm,8.6 in/219 mm,3.73 in/94.7 mm,0.53 in/13.5 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAAPH034K515S,23134 ,5 15/16 in,6 in / 152.4 mm,16 in / 406.4 mm,17.13 in / 435.1 mm,3.38 in / 85.7 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,5 15/16 in,Imperial,TAAPH034K515SB/TAAPH034K515SC/TAAPH034K515SEB/TAAPH034K515SEC/TAAPH034K515SEM/TAAPH034K515SEN/TAAPH034K515SEO/TAAPH034K515SET/TAAPH034K515SMT/TAAPH034K515SNT/TAAPH034K515SO/TAAPH034K515ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,6 in/152.4 mm,13 in/330.2 mm,8.66 in/220 mm,16 in/406.4 mm,17.13 in/435.1 mm,3.38 in/85.7 mm,20.13 in/511.3 mm,6.75 in/171.5 mm,2.56 in/65 mm,1 in/24 mm,7.28 in/184.8 mm,3.9 in/99.1 mm,0.36 in/9.1 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAA31SN34K515S,23134 ,5 15/16 in,6.69 in / 170 mm,16.14 in / 410 mm,17.72 in / 450 mm,3.94 in / 100 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,5 15/16 in,Imperial,TAA31SN34K515SB/TAA31SN34K515SC/TAA31SN34K515SEB/TAA31SN34K515SEC/TAA31SN34K515SEM/TAA31SN34K515SEN/TAA31SN34K515SEO/TAA31SN34K515SET/TAA31SN34K515SMT/TAA31SN34K515SNT/TAA31SN34K515SO/TAA31SN34K515ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,6.69 in/170 mm,13.11 in/333 mm,8.66 in/220 mm,16.14 in/410 mm,17.72 in/450 mm,3.94 in/100 mm,20.08 in/510 mm,6.75 in/171.5 mm,2.56 in/65 mm,1 in/24 mm,7.08 in/180 mm,3.73 in/94.7 mm,0.53 in/13.5 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
DAAPF34K515S,23134 ,5 15/16 in,6.69 in / 169.9 mm,17.38 in / 441.3 mm,19.13 in / 485.8 mm,3-3/4 in / 95.3 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,5 15/16 in,Imperial,,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,6.69 in/169.9 mm,13 in/330.3 mm,8.64 in/219.4 mm,17.38 in/441.3 mm,19.13 in/485.8 mm,3-3/4 in/95.3 mm,22.0 in/558.8 mm,6.75 in/171.5 mm,3 in/76.2 mm,1 in/24 mm,7.05 in/179.1 mm,3.68 in/93.4 mm,0.42 in/10.8 mm,7.35 in/186.7 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAA4SD34K600S,23134 ,6 in,9 in / 228.6 mm,21.38 in / 543.1 mm,23.63 in / 600.2 mm,5.0 in / 127 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,6 in,Imperial,TAA4SD34K600SB/TAA4SD34K600SC/TAA4SD34K600SEB/TAA4SD34K600SEC/TAA4SD34K600SEM/TAA4SD34K600SEN/TAA4SD34K600SEO/TAA4SD34K600SET/TAA4SD34K600SMT/TAA4SD34K600SNT/TAA4SD34K600SO/TAA4SD34K600ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,9 in/228.6 mm,15.75 in/400.1 mm,8.66 in/220 mm,21.38 in/543.1 mm,23.63 in/600.2 mm,5.0 in/127 mm,26-3/4 in/679.5 mm,7.51 in/190.8 mm,2.5 in/63.5 mm,1.125 in/24 mm,7.49 in/190.1 mm,3.73 in/94.7 mm,0.59 in/15 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAA4DI34K600S,23134 ,6 in,7.13 in / 181.1 mm,19 in / 482.6 mm,20.63 in / 524 mm,3 in / 76.2 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,6 in,Imperial,TAA4DI34K600SB/TAA4DI34K600SC/TAA4DI34K600SEB/TAA4DI34K600SEC/TAA4DI34K600SEM/TAA4DI34K600SEN/TAA4DI34K600SEO/TAA4DI34K600SET/TAA4DI34K600SMT/TAA4DI34K600SNT/TAA4DI34K600SO/TAA4DI34K600ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,7.13 in/181.1 mm,13.88 in/352.6 mm,8.27 in/210 mm,19 in/482.6 mm,20.63 in/524 mm,3 in/76.2 mm,23.69 in/601.7 mm,6.5 in/165.1 mm,2.5 in/63.5 mm,1 in/24 mm,6.68 in/169.6 mm,3.73 in/94.7 mm,0.59 in/15 mm,7.35 in/186.7 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAAPH34K600S,23134 ,6 in,7.06 in / 179.4 mm,19.38 in / 493.6 mm,21.63 in / 549.4 mm,4-1/4 in / 108 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,6 in,Imperial,TAAPH34K600SB/TAAPH34K600SC/TAAPH34K600SEB/TAAPH34K600SEC/TAAPH34K600SEM/TAAPH34K600SEN/TAAPH34K600SEO/TAAPH34K600SET/TAAPH34K600SMT/TAAPH34K600SNT/TAAPH34K600SO/TAAPH34K600ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,7.06 in/179.4 mm,13.38 in/339.8 mm,8.66 in/220 mm,19.38 in/493.6 mm,21.63 in/549.4 mm,4-1/4 in/108 mm,24-3/4 in/628.7 mm,6.75 in/171.5 mm,3.38 in/85.9 mm,1 in/24 mm,7.1 in/180 mm,3.73 in/94.7 mm,0.52 in/13.2 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAAPH34DK600S,23134 ,6 in,7.06 in / 179.3 mm,19.38 in / 492.3 mm,21.63 in / 549.4 mm,5.5 in / 139.7 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,6 in,Imperial,TAAPH34DK600SB/TAAPH34DK600SC/TAAPH34DK600SEB/TAAPH34DK600SEC/TAAPH34DK600SEM/TAAPH34DK600SEN/TAAPH34DK600SEO/TAAPH34DK600SET/TAAPH34DK600SMT/TAAPH34DK600SNT/TAAPH34DK600SO/TAAPH34DK600ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,7.06 in/179.3 mm,14.6 in/370 mm,7.87 in/199.9 mm,19.38 in/492.3 mm,21.63 in/549.4 mm,5.5 in/139.7 mm,24-3/4 in/628.7 mm,8.5 in/215.9 mm,2.56 in/65 mm,1.25 in/30 mm,7.98 in/203 mm,3.73 in/94.7 mm,0.52 in/13.2 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAAPH634K600S,23134 ,6 in,8-1/4 in / 209.6 mm,22.5 in / 571.5 mm,25 in / 635 mm,5.0 in / 127 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,6 in,Imperial,TAAPH634K600SB/TAAPH634K600SC/TAAPH634K600SEB/TAAPH634K600SEC/TAAPH634K600SEM/TAAPH634K600SEN/TAAPH634K600SEO/TAAPH634K600SET/TAAPH634K600SMT/TAAPH634K600SNT/TAAPH634K600SO/TAAPH634K600ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,8-1/4 in/209.6 mm,15.76 in/400.4 mm,8.66 in/220 mm,22.5 in/571.5 mm,25 in/635 mm,5.0 in/127 mm,29-1/2 in/749.3 mm,8.0 in/203.2 mm,2.56 in/65 mm,1.25 in/30 mm,7.73 in/196 mm,3.73 in/94.7 mm,0.53 in/13.5 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAAPH634DK600S,23134 ,6 in,8-1/4 in / 209.6 mm,23 in / 584.2 mm,25 in / 635 mm,6.75 in / 171.5 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,6 in,Imperial,TAAPH634DK600SB/TAAPH634DK600SC/TAAPH634DK600SEB/TAAPH634DK600SEC/TAAPH634DK600SEM/TAAPH634DK600SEN/TAAPH634DK600SEO/TAAPH634DK600SET/TAAPH634DK600SMT/TAAPH634DK600SNT/TAAPH634DK600SO/TAAPH634DK600ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,8-1/4 in/209.6 mm,15.76 in/400.4 mm,8.66 in/220 mm,23 in/584.2 mm,25 in/635 mm,6.75 in/171.5 mm,28.75 in/730.3 mm,9.75 in/247.7 mm,2.56 in/65 mm,1.375 in/30 mm,8.6 in/219 mm,3.73 in/94.7 mm,0.53 in/13.5 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAAPH034K600S,23134 ,6 in,6 in / 152.4 mm,16 in / 406.4 mm,17.13 in / 435.1 mm,3.38 in / 85.7 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,6 in,Imperial,TAAPH034K600SB/TAAPH034K600SC/TAAPH034K600SEB/TAAPH034K600SEC/TAAPH034K600SEM/TAAPH034K600SEN/TAAPH034K600SEO/TAAPH034K600SET/TAAPH034K600SMT/TAAPH034K600SNT/TAAPH034K600SO/TAAPH034K600ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,6 in/152.4 mm,13 in/330.2 mm,8.66 in/220 mm,16 in/406.4 mm,17.13 in/435.1 mm,3.38 in/85.7 mm,20.13 in/511.3 mm,6.75 in/171.5 mm,2.56 in/65 mm,1 in/24 mm,7.28 in/184.8 mm,3.9 in/99.1 mm,0.36 in/9.1 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAA31SN34K600S,23134 ,6 in,6.69 in / 170 mm,16.14 in / 410 mm,17.72 in / 450 mm,3.94 in / 100 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,6 in,Imperial,TAA31SN34K600SB/TAA31SN34K600SC/TAA31SN34K600SEB/TAA31SN34K600SEC/TAA31SN34K600SEM/TAA31SN34K600SEN/TAA31SN34K600SEO/TAA31SN34K600SET/TAA31SN34K600SMT/TAA31SN34K600SNT/TAA31SN34K600SO/TAA31SN34K600ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,6.69 in/170 mm,13.11 in/333 mm,8.66 in/220 mm,16.14 in/410 mm,17.72 in/450 mm,3.94 in/100 mm,20.08 in/510 mm,6.75 in/171.5 mm,2.56 in/65 mm,1 in/24 mm,7.08 in/180 mm,3.73 in/94.7 mm,0.53 in/13.5 mm,7.38 in/187.5 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
DAAPF34K600S,23134 ,6 in,6.69 in / 169.9 mm,17.38 in / 441.3 mm,19.13 in / 485.8 mm,3-3/4 in / 95.3 mm,384000 lbf / 1710000 N,274000 lbf / 1220000 N,,Mounted Bearing,23134,6 in,Imperial,,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,6.69 in/169.9 mm,13 in/330.3 mm,8.64 in/219.4 mm,17.38 in/441.3 mm,19.13 in/485.8 mm,3-3/4 in/95.3 mm,22.0 in/558.8 mm,6.75 in/171.5 mm,3 in/76.2 mm,1 in/24 mm,7.05 in/179.1 mm,3.68 in/93.4 mm,0.42 in/10.8 mm,7.35 in/186.7 mm,384000 lbf/1710000 N,274000 lbf/1220000 N,0.28,2.39,3.55,,,,,,,0.083 in/2.108 mm,,,
TAA4SD36K605S,23136 ,6 5/16 in,11.25 in / 285.8 mm,27.5 in / 698.5 mm,30.5 in / 774.7 mm,5.5 in / 139.7 mm,449000 lbf / 2000000 N,317000 lbf / 1410000 N,,Mounted Bearing,23136,6 5/16 in,Imperial,TAA4SD36K605SB/TAA4SD36K605SC/TAA4SD36K605SEB/TAA4SD36K605SEC/TAA4SD36K605SEM/TAA4SD36K605SEN/TAA4SD36K605SEO/TAA4SD36K605SET/TAA4SD36K605SMT/TAA4SD36K605SNT/TAA4SD36K605SO/TAA4SD36K605ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,11.25 in/285.8 mm,19.75 in/501.7 mm,9.06 in/230 mm,27.5 in/698.5 mm,30.5 in/774.7 mm,5.5 in/139.7 mm,34.38 in/873.3 mm,8.8 in/223.5 mm,2.75 in/69.9 mm,1.5 in/36 mm,8.3 in/210.8 mm,3.9 in/99.1 mm,0.62 in/15.7 mm,7.74 in/196.6 mm,449000 lbf/2000000 N,317000 lbf/1410000 N,0.29,2.32,3.45,,,,,,,0.083 in/2.108 mm,,,
TAAPH36K605S,23136 ,6 5/16 in,7-1/2 in / 190.5 mm,20.88 in / 531.8 mm,23.63 in / 600.2 mm,4.63 in / 117.5 mm,449000 lbf / 2000000 N,317000 lbf / 1410000 N,,Mounted Bearing,23136,6 5/16 in,Imperial,TAAPH36K605SB/TAAPH36K605SC/TAAPH36K605SEB/TAAPH36K605SEC/TAAPH36K605SEM/TAAPH36K605SEN/TAAPH36K605SEO/TAAPH36K605SET/TAAPH36K605SMT/TAAPH36K605SNT/TAAPH36K605SO/TAAPH36K605ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,7-1/2 in/190.5 mm,15.4 in/391.2 mm,9.06 in/230 mm,20.88 in/531.8 mm,23.63 in/600.2 mm,4.63 in/117.5 mm,26-3/4 in/679.5 mm,7.5 in/190.5 mm,3 in/76.2 mm,1 in/24 mm,7.72 in/196 mm,3.9 in/99.1 mm,0.57 in/14.5 mm,7.74 in/196.6 mm,449000 lbf/2000000 N,317000 lbf/1410000 N,0.29,2.32,3.45,,,,,,,0.083 in/2.108 mm,,,
TAAPH36DK605S,23136 ,6 5/16 in,7-1/2 in / 190.5 mm,20.88 in / 530.4 mm,23.63 in / 600.2 mm,5.88 in / 149.4 mm,449000 lbf / 2000000 N,317000 lbf / 1410000 N,,Mounted Bearing,23136,6 5/16 in,Imperial,TAAPH36DK605SB/TAAPH36DK605SC/TAAPH36DK605SEB/TAAPH36DK605SEC/TAAPH36DK605SEM/TAAPH36DK605SEN/TAAPH36DK605SEO/TAAPH36DK605SET/TAAPH36DK605SMT/TAAPH36DK605SNT/TAAPH36DK605SO/TAAPH36DK605ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,7-1/2 in/190.5 mm,15.4 in/391.2 mm,8.27 in/210.1 mm,20.88 in/530.4 mm,23.63 in/600.2 mm,5.88 in/149.4 mm,26-3/4 in/679.5 mm,8.64 in/219.5 mm,2.75 in/69.9 mm,1.25 in/30 mm,8.22 in/209 mm,3.9 in/99.1 mm,0.57 in/14.5 mm,7.74 in/196.6 mm,449000 lbf/2000000 N,317000 lbf/1410000 N,0.29,2.32,3.45,,,,,,,0.083 in/2.108 mm,,,
TAAPH636K605S,23136 ,6 5/16 in,8.88 in / 225.4 mm,24 in / 609.6 mm,26.63 in / 676.3 mm,5.25 in / 133.4 mm,449000 lbf / 2000000 N,317000 lbf / 1410000 N,,Mounted Bearing,23136,6 5/16 in,Imperial,TAAPH636K605SB/TAAPH636K605SC/TAAPH636K605SEB/TAAPH636K605SEC/TAAPH636K605SEM/TAAPH636K605SEN/TAAPH636K605SEO/TAAPH636K605SET/TAAPH636K605SMT/TAAPH636K605SNT/TAAPH636K605SO/TAAPH636K605ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,8.88 in/225.4 mm,16.8 in/426.7 mm,9.06 in/230 mm,24 in/609.6 mm,26.63 in/676.3 mm,5.25 in/133.4 mm,31.25 in/793.8 mm,9.88 in/250.8 mm,2.75 in/69.9 mm,1.25 in/30 mm,8.84 in/224 mm,3.9 in/99.1 mm,0.57 in/14.5 mm,7.74 in/196.6 mm,449000 lbf/2000000 N,317000 lbf/1410000 N,0.29,2.32,3.45,,,,,,,0.083 in/2.108 mm,,,
TAAPH636DK605S,23136 ,6 5/16 in,8.88 in / 225.4 mm,24.13 in / 612.8 mm,26.38 in / 669.9 mm,6.88 in / 174.6 mm,449000 lbf / 2000000 N,317000 lbf / 1410000 N,,Mounted Bearing,23136,6 5/16 in,Imperial,TAAPH636DK605SB/TAAPH636DK605SC/TAAPH636DK605SEB/TAAPH636DK605SEC/TAAPH636DK605SEM/TAAPH636DK605SEN/TAAPH636DK605SEO/TAAPH636DK605SET/TAAPH636DK605SMT/TAAPH636DK605SNT/TAAPH636DK605SO/TAAPH636DK605ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,8.88 in/225.4 mm,16.8 in/426.7 mm,9.06 in/230 mm,24.13 in/612.8 mm,26.38 in/669.9 mm,6.88 in/174.6 mm,30.5 in/774.7 mm,9.88 in/250.8 mm,2.75 in/69.9 mm,1.5 in/36 mm,8.84 in/224 mm,3.9 in/99.1 mm,0.57 in/14.5 mm,7.74 in/196.6 mm,449000 lbf/2000000 N,317000 lbf/1410000 N,0.29,2.32,3.45,,,,,,,0.083 in/2.108 mm,,,
TAAPH036K605S,23136 ,6 5/16 in,6.69 in / 169.9 mm,17.38 in / 441.4 mm,19.25 in / 488.9 mm,3-3/4 in / 95.3 mm,449000 lbf / 2000000 N,317000 lbf / 1410000 N,,Mounted Bearing,23136,6 5/16 in,Imperial,TAAPH036K605SB/TAAPH036K605SC/TAAPH036K605SEB/TAAPH036K605SEC/TAAPH036K605SEM/TAAPH036K605SEN/TAAPH036K605SEO/TAAPH036K605SET/TAAPH036K605SMT/TAAPH036K605SNT/TAAPH036K605SO/TAAPH036K605ST,Double Nut Tapered Adapter,Four-Bolt Pillow Block,,6.69 in/169.9 mm,13-1/2 in/342.9 mm,9.06 in/230 mm,17.38 in/441.4 mm,19.25 in/488.9 mm,3-3/4 in/95.3 mm,22.0 in/558.8 mm,7.09 in/180.1 mm,2.36 in/59.9 mm,1 in/24 mm,7.45 in/189.1 mm,3.9 in/99.1 mm,0.57 in/14.5 mm,7.74 in/196.6 mm,449000 lbf/2000000 N,317000 lbf/1410000 N,0.29,2.32,3.45,,,,,,,0.083 in/2.108 mm,,,
