Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,Bolt Hole Spacing - Across,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension M,Dimension S,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Pre Install Clearance Min,Pre Install Clearance Max,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max
TAPH15K208S,22215 ,2 1/2 in,3.25 in / 82.6 mm,7.94 in / 201.7 mm,9.69 in / 246.1 mm,1.88 in / 47.8 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 1/2 in,Imperial,TAPH15K208SB/TAPH15K208SC/TAPH15K208SEB/TAPH15K208SEC/TAPH15K208SEM/TAPH15K208SEN/TAPH15K208SEO/TAPH15K208SET/TAPH15K208SM/TAPH15K208SN/TAPH15K208SO/TAPH15K208ST,Tapered Adapter,Four-Bolt Pillow Block,0883450129176/0883450129183/0883450129206/0883450129213/0883450129220/0883450129237/0883450129244/0883450129251/0883450198516/0883450198714/0883450276016/0883450276214,3.25 in/82.6 mm,6.38 in/162.1 mm,3.86 in/98 mm,7.94 in/201.7 mm,9.69 in/246.1 mm,1.88 in/47.8 mm,10.88 in/276.4 mm,3.13 in/79.5 mm,1.29 in/32.8 mm,0.5 in/12 mm,3.29 in/83.6 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm,,
TAPK15K208S,22215 ,2 1/2 in,3.5 in / 88.9 mm,9.06 in / 230.1 mm,10.44 in / 265.2 mm,2.75 in / 69.9 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 1/2 in,Imperial,TAPK15K208SB/TAPK15K208SC/TAPK15K208SEB/TAPK15K208SEC/TAPK15K208SEM/TAPK15K208SEN/TAPK15K208SEO/TAPK15K208SET/TAPK15K208SM/TAPK15K208SN/TAPK15K208SO/TAPK15K208ST,Tapered Adapter,Four-Bolt Pillow Block,0883450131179/0883450131186/0883450131209/0883450131216/0883450131223/0883450131230/0883450131247/0883450131254/0883450198912/0883450199117/0883450276559/0883450276757,3.5 in/88.9 mm,6.83 in/173.5 mm,3.86 in/98 mm,9.06 in/230.1 mm,10.44 in/265.2 mm,2.75 in/69.9 mm,13 in/330.2 mm,4.25 in/108 mm,1.54 in/39.1 mm,0.75 in/20 mm,3.86 in/98 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm,,
TA4SD15K208S,22215 ,2 1/2 in,4 in / 101.6 mm,9.88 in / 251 mm,11.63 in / 295.4 mm,2-1/2 in / 63.5 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 1/2 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,4 in/101.6 mm,7.71 in/182.1 mm,3.86 in/98.04 mm,9.88 in/251 mm,11.63 in/295.4 mm,2-1/2 in/63.5 mm,13.25 in/336.6 mm,4.07 in/103.4 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.89 in/98.7 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm,,
TA4DI15K208S,22215 ,2 1/2 in,3.25 in / 82.6 mm,9.2 in / 235 mm,10.25 in / 260.4 mm,1.75 in / 44.5 mm,54100 lbf / 240000 N,49900 lbf / 222000 N,,Mounted Bearing,22215,2 1/2 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,3.25 in/82.6 mm,6.38 in/162.1 mm,3.86 in/98 mm,9.2 in/235 mm,10.25 in/260.4 mm,1.75 in/44.5 mm,12 in/304.8 mm,3 in/76.2 mm,1.25 in/31.8 mm,0.5 in/12 mm,3.11 in/78.9 mm,1.73 in/43.9 mm,2.87 in/72.9 mm,54100 lbf/240000 N,49900 lbf/222000 N,0.22,3.14,4.67,1600 rpm,2900 rpm,1300 rpm,1600 rpm,2400 rpm,1300 rpm,0.083 in/2.108 mm,0.0035 in/0.089 mm,0.0037 in/0.094 mm,0.0047 in/0.119 mm,,
TAPK17K215S,22217 ,2 15/16 in,4 in / 101.6 mm,10.81 in / 274.6 mm,12.19 in / 309.6 mm,3 in / 76.2 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,2 15/16 in,Imperial,TAPK17K215SB/TAPK17K215SC/TAPK17K215SEB/TAPK17K215SEC/TAPK17K215SEM/TAPK17K215SEN/TAPK17K215SEO/TAPK17K215SET/TAPK17K215SM/TAPK17K215SN/TAPK17K215SO/TAPK17K215ST,Tapered Adapter,Four-Bolt Pillow Block,0883450131377/0883450131384/0883450131407/0883450131414/0883450131421/0883450131438/0883450131445/0883450131452/0883450198936/0883450199131/0883450276573/0883450276771,4 in/101.6 mm,7.92 in/201.2 mm,4.33 in/110 mm,10.81 in/274.6 mm,12.19 in/309.6 mm,3 in/76.2 mm,15 in/381 mm,4.75 in/120.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,4.34 in/110.2 mm,1.96 in/49.8 mm,3.23 in/82 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TA4SD17K215S,22217 ,2 15/16 in,4.75 in / 120.7 mm,10.88 in / 276.4 mm,12.63 in / 320.8 mm,2.75 in / 69.9 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,2 15/16 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,4.75 in/120.7 mm,8.32 in/211.3 mm,4.33 in/110 mm,10.88 in/276.4 mm,12.63 in/320.8 mm,2.75 in/69.9 mm,14.25 in/362 mm,4.32 in/109.8 mm,1.25 in/31.8 mm,0.625 in/16 mm,4.27 in/108.5 mm,1.96 in/49.8 mm,3.23 in/82 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TA4DI17K215S,22217 ,2 15/16 in,3.75 in / 95.3 mm,9.88 in / 250.8 mm,11.5 in / 292.1 mm,1.88 in / 47.6 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,2 15/16 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,3.75 in/95.3 mm,7.32 in/185.7 mm,4.33 in/110 mm,9.88 in/250.8 mm,11.5 in/292.1 mm,1.88 in/47.6 mm,13.44 in/341.4 mm,3-1/2 in/88.9 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.71 in/94.2 mm,1.96 in/49.8 mm,3.23 in/82 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
DVPF17K300S,22217 ,3 in,3.25 in / 82.6 mm,7.6 in / 193 mm,9.1 in / 231.1 mm,1.88 in / 47.8 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,3 in,Imperial,DVPF17K300SB/DVPF17K300SC/DVPF17K300SEB/DVPF17K300SEC/DVPF17K300SEM/DVPF17K300SEN/DVPF17K300SEO/DVPF17K300SET/DVPF17K300SM/DVPF17K300SN/DVPF17K300SO/DVPF17K300ST,Tapered Adapter,Four-Bolt Pillow Block,0883450010627/0883450010634/0883450010658/0883450010665/0883450010672/0883450010689/0883450010696/0883450010702/0883450196130/0883450196338/0883450273640/0883450273848,3.25 in/82.6 mm,6.79 in/172.5 mm,4.33 in/110 mm,7.6 in/193 mm,9.1 in/231.1 mm,1.88 in/47.8 mm,10.44 in/265.2 mm,3.13 in/79.5 mm,1.29 in/32.8 mm,0.625 in/16 mm,3.41 in/86.6 mm,1.96 in/49.8 mm,3.23 in/82 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TAPG17K300S,22217 ,3 in,3.74 in / 95 mm,9.44 in / 239.8 mm,11.31 in / 287.3 mm,2.06 in / 52.3 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,3 in,Imperial,TAPG17K300SB/TAPG17K300SC/TAPG17K300SEB/TAPG17K300SEC/TAPG17K300SEM/TAPG17K300SEN/TAPG17K300SEO/TAPG17K300SET/TAPG17K300SM/TAPG17K300SN/TAPG17K300SO/TAPG17K300ST,Tapered Adapter,Four-Bolt Pillow Block,0883450127479/0883450127486/0883450127509/0883450127516/0883450127523/0883450127530/0883450127547/0883450127554/0883450198141/0883450198349/0883450275644/0883450275842,3.74 in/95 mm,7.2 in/182.9 mm,4.33 in/110 mm,9.44 in/239.8 mm,11.31 in/287.3 mm,2.06 in/52.3 mm,12.63 in/320.8 mm,3.63 in/92.2 mm,1.25 in/31.8 mm,0.75 in/20 mm,3.78 in/96 mm,1.96 in/49.8 mm,3.23 in/82 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TAPH17K300S,22217 ,3 in,3.75 in / 95.3 mm,9.44 in / 239.8 mm,11.31 in / 287.3 mm,2.13 in / 54.1 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,3 in,Imperial,TAPH17K300SB/TAPH17K300SC/TAPH17K300SEB/TAPH17K300SEC/TAPH17K300SEM/TAPH17K300SEN/TAPH17K300SEO/TAPH17K300SET/TAPH17K300SM/TAPH17K300SN/TAPH17K300SO/TAPH17K300ST,Tapered Adapter,Four-Bolt Pillow Block,0883450129473/0883450129480/0883450129503/0883450129510/0883450129527/0883450129534/0883450129541/0883450129558/0883450198547/0883450198745/0883450276047/0883450276245,3.75 in/95.3 mm,7.2 in/182.9 mm,4.33 in/110 mm,9.44 in/239.8 mm,11.31 in/287.3 mm,2.13 in/54.1 mm,12.63 in/320.8 mm,3.63 in/92.2 mm,1.26 in/32 mm,0.625 in/16 mm,3.78 in/96 mm,1.96 in/49.8 mm,3.23 in/82 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TAPK17K300S,22217 ,3 in,4 in / 101.6 mm,10.81 in / 274.6 mm,12.19 in / 309.6 mm,3 in / 76.2 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,3 in,Imperial,TAPK17K300SB/TAPK17K300SC/TAPK17K300SEB/TAPK17K300SEC/TAPK17K300SEM/TAPK17K300SEN/TAPK17K300SEO/TAPK17K300SET/TAPK17K300SM/TAPK17K300SN/TAPK17K300SO/TAPK17K300ST,Tapered Adapter,Four-Bolt Pillow Block,0883450131476/0883450131483/0883450131506/0883450131513/0883450131520/0883450131537/0883450131544/0883450131551/0883450198943/0883450199148/0883450276580/0883450276788,4 in/101.6 mm,7.92 in/201.2 mm,4.33 in/110 mm,10.81 in/274.6 mm,12.19 in/309.6 mm,3 in/76.2 mm,15 in/381 mm,4.75 in/120.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,4.34 in/110.2 mm,1.96 in/49.8 mm,3.23 in/82 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TA4SD17K300S,22217 ,3 in,4.75 in / 120.7 mm,10.88 in / 276.4 mm,12.63 in / 320.8 mm,2.75 in / 69.9 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,3 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,4.75 in/120.7 mm,8.32 in/211.3 mm,4.33 in/110 mm,10.88 in/276.4 mm,12.63 in/320.8 mm,2.75 in/69.9 mm,14.25 in/362 mm,4.32 in/109.8 mm,1.25 in/31.8 mm,0.625 in/16 mm,4.27 in/108.5 mm,1.96 in/49.8 mm,3.23 in/82 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TA4DI17K300S,22217 ,3 in,3.75 in / 95.3 mm,9.88 in / 250.8 mm,11.5 in / 292.1 mm,1.88 in / 47.6 mm,71900 lbf / 320000 N,66900 lbf / 297000 N,,Mounted Bearing,22217,3 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,3.75 in/95.3 mm,7.32 in/185.7 mm,4.33 in/110 mm,9.88 in/250.8 mm,11.5 in/292.1 mm,1.88 in/47.6 mm,13.44 in/341.4 mm,3-1/2 in/88.9 mm,1.25 in/31.8 mm,0.625 in/16 mm,3.71 in/94.2 mm,1.96 in/49.8 mm,3.23 in/82 mm,71900 lbf/320000 N,66900 lbf/297000 N,0.22,3.07,4.57,1400 rpm,2400 rpm,1100 rpm,1400 rpm,2000 rpm,1100 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TAPH18K303S,22218 ,3 3/16 in,4 in / 101.6 mm,10 in / 254 mm,11.75 in / 298.5 mm,2.13 in / 54 mm,87200 lbf / 388000 N,79700 lbf / 355000 N,,Mounted Bearing,22218,3 3/16 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,4 in/101.6 mm,7.96 in/202.1 mm,4.71 in/119.6 mm,10 in/254 mm,11.75 in/298.5 mm,2.13 in/54 mm,13.75 in/349.3 mm,3.88 in/98.4 mm,1.63 in/41.3 mm,0.625 in/16 mm,3.98 in/101.2 mm,2.05 in/52 mm,3.39 in/86 mm,87200 lbf/388000 N,79700 lbf/355000 N,0.23,2.90,4.31,1400 rpm,2400 rpm,1000 rpm,1400 rpm,2000 rpm,1000 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0024 in/0.060 mm,0.0039 in/0.100 mm,0.0024,0.0039
TAPG18K303S,22218 ,3 3/16 in,3.937 in / 100 mm,11.13 in / 282.7 mm,11.75 in / 298.5 mm,1.97 in / 50 mm,87200 lbf / 388000 N,79700 lbf / 355000 N,,Mounted Bearing,22218,3 3/16 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,3.937 in/100 mm,7.69 in/195.3 mm,4.71 in/119.6 mm,11.13 in/282.7 mm,11.75 in/298.5 mm,1.97 in/50 mm,13.58 in/344.9 mm,3.94 in/100.1 mm,1.56 in/39.6 mm,0.625 in/16 mm,4.02 in/102.1 mm,2.05 in/52.1 mm,3.39 in/86.1 mm,87200 lbf/388000 N,79700 lbf/355000 N,0.23,2.90,4.31,1400 rpm,2400 rpm,1000 rpm,1400 rpm,2000 rpm,1000 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0024 in/0.060 mm,0.0039 in/0.100 mm,0.0024,0.0039
TAPH18K304S,22218 ,3 1/4 in,4 in / 101.6 mm,10 in / 254 mm,11.75 in / 298.5 mm,2.13 in / 54 mm,87200 lbf / 388000 N,79700 lbf / 355000 N,,Mounted Bearing,22218,3 1/4 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,4 in/101.6 mm,7.96 in/202.1 mm,4.71 in/119.6 mm,10 in/254 mm,11.75 in/298.5 mm,2.13 in/54 mm,13.75 in/349.3 mm,3.88 in/98.4 mm,1.63 in/41.3 mm,0.625 in/16 mm,3.98 in/101.2 mm,2.05 in/52 mm,3.39 in/86 mm,87200 lbf/388000 N,79700 lbf/355000 N,0.23,2.90,4.31,1400 rpm,2400 rpm,1000 rpm,1400 rpm,2000 rpm,1000 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0024 in/0.060 mm,0.0039 in/0.100 mm,0.0024,0.0039
TAPG18K304S,22218 ,3 1/4 in,3.937 in / 100 mm,11.13 in / 282.7 mm,11.75 in / 298.5 mm,1.97 in / 50 mm,87200 lbf / 388000 N,79700 lbf / 355000 N,,Mounted Bearing,22218,3 1/4 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,3.937 in/100 mm,7.69 in/195.3 mm,4.71 in/119.6 mm,11.13 in/282.7 mm,11.75 in/298.5 mm,1.97 in/50 mm,13.58 in/344.9 mm,3.94 in/100.1 mm,1.56 in/39.6 mm,0.625 in/16 mm,4.02 in/102.1 mm,2.05 in/52.1 mm,3.39 in/86.1 mm,87200 lbf/388000 N,79700 lbf/355000 N,0.23,2.90,4.31,1400 rpm,2400 rpm,1000 rpm,1400 rpm,2000 rpm,1000 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0024 in/0.060 mm,0.0039 in/0.100 mm,0.0024,0.0039
DVPF20K307S,22220 ,3 7/16 in,3.75 in / 95.3 mm,8.88 in / 225.6 mm,10.88 in / 276.4 mm,2 in / 50.8 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 7/16 in,Imperial,DVPF20K307SB/DVPF20K307SC/DVPF20K307SEB/DVPF20K307SEC/DVPF20K307SEM/DVPF20K307SEN/DVPF20K307SEO/DVPF20K307SET/DVPF20K307SM/DVPF20K307SN/DVPF20K307SO/DVPF20K307ST,Tapered Adapter,Four-Bolt Pillow Block,0883450010825/0883450010832/0883450010856/0883450010863/0883450010870/0883450010887/0883450010894/0883450010900/0883450196154/0883450196352/0883450273664/0883450273862,3.75 in/95.3 mm,7.88 in/200.2 mm,5.12 in/130 mm,8.88 in/225.6 mm,10.88 in/276.4 mm,2 in/50.8 mm,12.3 in/312.4 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,3.99 in/101.3 mm,2.3 in/58.4 mm,3.82 in/97 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TAPG20K307S,22220 ,3 7/16 in,4.41 in / 112 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,2.38 in / 60.5 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 7/16 in,Imperial,TAPG20K307SB/TAPG20K307SC/TAPG20K307SEB/TAPG20K307SEC/TAPG20K307SEM/TAPG20K307SEN/TAPG20K307SEO/TAPG20K307SET/TAPG20K307SM/TAPG20K307SN/TAPG20K307SO/TAPG20K307ST,Tapered Adapter,Four-Bolt Pillow Block,0883450127677/0883450127684/0883450127707/0883450127714/0883450127721/0883450127738/0883450127745/0883450127752/0883450198165/0883450198363/0883450275668/0883450275866,4.41 in/112 mm,8.45 in/214.6 mm,5.12 in/130 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2.38 in/60.5 mm,15 in/381 mm,4.31 in/109.5 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.46 in/113.3 mm,2.3 in/58.4 mm,3.82 in/97 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TAPH20K307S,22220 ,3 7/16 in,4.5 in / 114.3 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,2.38 in / 60.5 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 7/16 in,Imperial,TAPH20K307SB/TAPH20K307SC/TAPH20K307SEB/TAPH20K307SEC/TAPH20K307SEM/TAPH20K307SEN/TAPH20K307SEO/TAPH20K307SET/TAPH20K307SM/TAPH20K307SN/TAPH20K307SO/TAPH20K307ST,Tapered Adapter,Four-Bolt Pillow Block,0883450129671/0883450129688/0883450129701/0883450129718/0883450129725/0883450129732/0883450129749/0883450129756/0883450198561/0883450198769/0883450276061/0883450276269,4.5 in/114.3 mm,8.54 in/216.9 mm,5.12 in/130 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2.38 in/60.5 mm,15 in/381 mm,4.31 in/109.5 mm,1.65 in/41.9 mm,0.75 in/20 mm,4.46 in/113.3 mm,2.3 in/58.4 mm,3.82 in/97 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TAPK20K307S,22220 ,3 7/16 in,5 in / 127 mm,12.5 in / 317.5 mm,14 in / 355.6 mm,3.5 in / 88.9 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 7/16 in,Imperial,TAPK20K307SB/TAPK20K307SC/TAPK20K307SEB/TAPK20K307SEC/TAPK20K307SEM/TAPK20K307SEN/TAPK20K307SEO/TAPK20K307SET/TAPK20K307SM/TAPK20K307SN/TAPK20K307SO/TAPK20K307ST,Tapered Adapter,Four-Bolt Pillow Block,0883450131674/0883450131681/0883450131704/0883450131711/0883450131728/0883450131735/0883450131742/0883450131759/0883450198967/0883450199162/0883450276603/0883450276801,5 in/127 mm,9.44 in/239.8 mm,5.12 in/130 mm,12.5 in/317.5 mm,14 in/355.6 mm,3.5 in/88.9 mm,16.75 in/425.5 mm,5.5 in/139.7 mm,1.63 in/41.4 mm,0.875 in/24 mm,5.05 in/128.3 mm,2.3 in/58.4 mm,3.82 in/97 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TA4SD20K307S,22220 ,3 7/16 in,5.5 in / 139.7 mm,13 in / 330.2 mm,14.5 in / 368.3 mm,3.25 in / 82.56 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 7/16 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,5.5 in/139.7 mm,10 in/254 mm,5.12 in/130 mm,13 in/330.2 mm,14.5 in/368.3 mm,3.25 in/82.56 mm,16.75 in/425.5 mm,4.98 in/126.5 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.7 in/119.4 mm,2.21 in/56.1 mm,3.82 in/97 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
TA4DI20K307S,22220 ,3 7/16 in,4.5 in / 114.3 mm,12.81 in / 325.4 mm,13.81 in / 350.8 mm,2 in / 50.8 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 7/16 in,Imperial,,Tapered Adapter,Four-Bolt Pillow Block,,4.5 in/114.3 mm,8.68 in/220.4 mm,5.12 in/130 mm,12.81 in/325.4 mm,13.81 in/350.8 mm,2 in/50.8 mm,16 in/406.4 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.18 in/106 mm,2.3 in/58.4 mm,3.82 in/97 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
DVPF20K308S,22220 ,3 1/2 in,3.75 in / 95.3 mm,8.88 in / 225.6 mm,10.88 in / 276.4 mm,2 in / 50.8 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 1/2 in,Imperial,DVPF20K308SB/DVPF20K308SC/DVPF20K308SEB/DVPF20K308SEC/DVPF20K308SEM/DVPF20K308SEN/DVPF20K308SEO/DVPF20K308SET/DVPF20K308SM/DVPF20K308SN/DVPF20K308SO/DVPF20K308ST,Tapered Adapter,Four-Bolt Pillow Block,0883450010924/0883450010931/0883450010955/0883450010962/0883450010979/0883450010986/0883450010993/0883450011006/0883450196161/0883450196369/0883450273671/0883450273879,3.75 in/95.3 mm,7.88 in/200.2 mm,5.12 in/130 mm,8.88 in/225.6 mm,10.88 in/276.4 mm,2 in/50.8 mm,12.3 in/312.4 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,3.99 in/101.3 mm,2.3 in/58.4 mm,3.82 in/97 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0040 in/0.102 mm,0.0043 in/0.109 mm,0.0055 in/0.140 mm,,
