Part Number,Shaft Size,Shaft Size Type,Bolt Spacing Min,Bolt Spacing Max,Base to Center Height,C90 Dynamic Load Rating,Max. Speed,Lubrication,CAD,Shaft Size,Shaft Size Type,Lubrication,Housing Type,Housing Coating,Dimension B,Dimension S1,Dimension R,Dimension L,Dimension E,Dimension A,Dimension J Min.,Dimension J Max.,Bolt Diameter,Dimension N,Dimension N1,Dimension H1,Dimension H2,Dimension d1,Dimension H,Dimension W,e,X (if Fa/Fr ≤ e),Y (if Fa/Fr ≤ e),X (if Fa/Fr > e),Y (if Fa/Fr > e),K Factor,C90 Dynamic Load Rating2,C0 Static Load Rating,Fa-max Maximum Permissible Thrust Load3,Fr-max Maximum Allowable Slip Fit Radial Load4,Max. Speed5,Note,EXPANSION
KSA-P2BA-TRB-2 3/16,2 3/16 in,Imperial ,7-3/16 in,9-1/2 in,3 in,10900 lbf,2730 rpm,Grease - Premium Industrial ,,['2 3/16 in'],['Imperial'],['Grease - Premium Industrial'],['Double Interlock Self-Aligning'],['Powder Coat'],['3-1/8 in'],['1-7/8 in'],['1-15/64 in'],['10-19/32 in'],['3-3/16 in'],['2-21/32 in'],['7-3/16 in'],['9-1/2 in'],['5/8 in'],['11/16 in'],['1-27/32 in'],['1-3/32 in'],['5-29/32 in'],['3-3/4 in'],['3 in'],['6 in'],['0.36'],['0.87'],['2.38'],['0.7'],['2.87'],['1.65'],['10900 lbf'],['48200 lbf'],['3454 lbf'],['8900 lbf'],['2730 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
KSA-P2BA-TRB-2 3/16E,2 3/16 in,Imperial ,7-3/16 in,9-1/2 in,3 in,10900 lbf,2730 rpm,Grease - Premium Industrial ,,['2 3/16 in'],['Imperial'],['Grease - Premium Industrial'],['Double Interlock Self-Aligning'],['Powder Coat'],['3-1/8 in'],['1-7/8 in'],['1-15/64 in'],['10-19/32 in'],['3-3/16 in'],['2-21/32 in'],['7-3/16 in'],['9-1/2 in'],['5/8 in'],['11/16 in'],['1-27/32 in'],['1-3/32 in'],['5-29/32 in'],['3-3/4 in'],['3 in'],['6 in'],['0.36'],['0.87'],['2.38'],['0.7'],['2.87'],['1.65'],['10900 lbf'],['48200 lbf'],['3454 lbf'],['8900 lbf'],['2730 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
SNSA-P2BA-TRB-2 3/16,2 3/16 in,Imperial ,198.4 mm / 7-13/16 in,241.3 mm / 9-1/2 in,80.2 mm / 3-5/32 in,10900 lbf,2730 rpm,Grease - Premium Industrial ,,['2 3/16 in'],['Imperial'],['Grease - Premium Industrial'],['SN Self-Aligning'],['Powder Coat'],"['79.4 mm', '3-1/8 in']","['47.6 mm', '1-7/8 in']","['31.4 mm', '1-15/64 in']","['269.9 mm', '10-5/8 in']","['81.3 mm', '3-3/16 in']","['67.5 mm', '2-21/32 in']","['198.4 mm', '7-13/16 in']","['241.3 mm', '9-1/2 in']","['16 mm', '5/8 in']","['17.5 mm', '11/16 in']","['46.8 mm', '1-27/32 in']","['31.8 mm', '1-1/4 in']","['153.2 mm', '6-1/32 in']","['95.3 mm', '3-3/4 in']","['80.2 mm', '3-5/32 in']","['152.4 mm', '6 in']",['0.36'],['0.87'],['2.38'],['0.7'],['2.87'],['1.65'],['10900 lbf'],['48200 lbf'],['3454 lbf'],['8900 lbf'],['2730 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
SNSA-P2BA-TRB-2 3/16E,2 3/16 in,Imperial ,198.4 mm / 7-13/16 in,241.3 mm / 9-1/2 in,80.2 mm / 3-5/32 in,10900 lbf,2730 rpm,Grease - Premium Industrial ,,['2 3/16 in'],['Imperial'],['Grease - Premium Industrial'],['SN Self-Aligning'],['Powder Coat'],"['79.4 mm', '3-1/8 in']","['47.6 mm', '1-7/8 in']","['31.4 mm', '1-15/64 in']","['269.9 mm', '10-5/8 in']","['81.3 mm', '3-3/16 in']","['67.5 mm', '2-21/32 in']","['198.4 mm', '7-13/16 in']","['241.3 mm', '9-1/2 in']","['16 mm', '5/8 in']","['17.5 mm', '11/16 in']","['46.8 mm', '1-27/32 in']","['31.8 mm', '1-1/4 in']","['153.2 mm', '6-1/32 in']","['95.3 mm', '3-3/4 in']","['80.2 mm', '3-5/32 in']","['152.4 mm', '6 in']",['0.36'],['0.87'],['2.38'],['0.7'],['2.87'],['1.65'],['10900 lbf'],['48200 lbf'],['3454 lbf'],['8900 lbf'],['2730 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']","['14.2 mm', '9/16 in']"
ESA-P2BA-TRB-2 1/4,2 1/4 in,Imperial ,6-15/16 in,8-11/16 in,2-3/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 1/4 in'],['Imperial'],['Grease - Premium Industrial'],['Type E Self-Aligning'],['Powder Coat'],['3-5/16 in'],['2 in'],['1-5/16 in'],['10-3/8 in'],['3-7/16 in'],['2-7/8 in'],['6-15/16 in'],['8-11/16 in'],['5/8 in'],['3/4 in'],['1-5/8 in'],['1-5/8 in'],['6-1/16 in'],['4-1/16 in'],['2-3/4 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
ESA-P2BA-TRB-2 1/4E,2 1/4 in,Imperial ,6-15/16 in,8-11/16 in,2-3/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 1/4 in'],['Imperial'],['Grease - Premium Industrial'],['Type E Self-Aligning'],['Powder Coat'],['3-5/16 in'],['2 in'],['1-5/16 in'],['10-3/8 in'],['3-7/16 in'],['2-7/8 in'],['6-15/16 in'],['8-11/16 in'],['5/8 in'],['3/4 in'],['1-5/8 in'],['1-5/8 in'],['6-1/16 in'],['4-1/16 in'],['2-3/4 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
SAFSA-P2BA-TRB-2 1/4,2 1/4 in,Imperial ,7-13/16 in,9-1/2 in,3 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 1/4 in'],['Imperial'],['Grease - Premium Industrial'],['SAF Self-Aligning'],['Powder Coat'],['3-1/8 in'],['1-7/8 in'],['1-15/64 in'],['10-5/8 in'],['3-7/16 in'],['2-7/8 in'],['7-13/16 in'],['9-1/2 in'],['5/8 in'],['11/16 in'],['1-27/32 in'],['1-3/8 in'],['6-5/16 in'],['4-1/16 in'],['3 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
SAFSA-P2BA-TRB-2 1/4E,2 1/4 in,Imperial ,7-13/16 in,9-1/2 in,3 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 1/4 in'],['Imperial'],['Grease - Premium Industrial'],['SAF Self-Aligning'],['Powder Coat'],['3-1/8 in'],['1-7/8 in'],['1-15/64 in'],['10-5/8 in'],['3-7/16 in'],['2-7/8 in'],['7-13/16 in'],['9-1/2 in'],['5/8 in'],['11/16 in'],['1-27/32 in'],['1-3/8 in'],['6-5/16 in'],['4-1/16 in'],['3 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
KSA-P2BA-TRB-2 1/4,2 1/4 in,Imperial ,9-1/4 in,10-1/4 in,3-1/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 1/4 in'],['Imperial'],['Grease - Premium Industrial'],['Double Interlock Self-Aligning'],['Powder Coat'],['3-5/16 in'],['2 in'],['1-5/16 in'],['12 in'],['3-7/16 in'],['2-7/8 in'],['9-1/4 in'],['10-1/4 in'],['5/8 in'],['11/16 in'],['1-3/16 in'],['1-3/8 in'],['6-9/16 in'],['4-1/16 in'],['3-1/4 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
KSA-P2BA-TRB-2 1/4E,2 1/4 in,Imperial ,9-1/4 in,10-1/4 in,3-1/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 1/4 in'],['Imperial'],['Grease - Premium Industrial'],['Double Interlock Self-Aligning'],['Powder Coat'],['3-5/16 in'],['2 in'],['1-5/16 in'],['12 in'],['3-7/16 in'],['2-7/8 in'],['9-1/4 in'],['10-1/4 in'],['5/8 in'],['11/16 in'],['1-3/16 in'],['1-3/8 in'],['6-9/16 in'],['4-1/16 in'],['3-1/4 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
SNSA-P2BA-TRB-2 1/4,2 1/4 in,Imperial ,200 mm / 7-7/8 in,244.5 mm / 9-5/8 in,80.2 mm / 3-5/32 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 1/4 in'],['Imperial'],['Grease - Premium Industrial'],['SN Self-Aligning'],['Powder Coat'],"['84.1 mm', '3-5/16 in']","['50.8 mm', '2 in']","['33.3 mm', '1-5/16 in']","['276.2 mm', '10-7/8 in']","['87.4 mm', '3-7/16 in']","['73 mm', '2-7/8 in']","['200 mm', '7-7/8 in']","['244.5 mm', '9-5/8 in']","['16 mm', '5/8 in']","['17.5 mm', '11/16 in']","['39.7 mm', '1-9/16 in']","['32.5 mm', '1-9/32 in']","['163.5 mm', '6-7/16 in']","['103.2 mm', '4-1/16 in']","['80.2 mm', '3-5/32 in']","['162.7 mm', '6-13/32 in']",['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
SNSA-P2BA-TRB-2 1/4E,2 1/4 in,Imperial ,200 mm / 7-7/8 in,244.5 mm / 9-5/8 in,80.2 mm / 3-5/32 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 1/4 in'],['Imperial'],['Grease - Premium Industrial'],['SN Self-Aligning'],['Powder Coat'],"['84.1 mm', '3-5/16 in']","['50.8 mm', '2 in']","['33.3 mm', '1-5/16 in']","['276.2 mm', '10-7/8 in']","['87.4 mm', '3-7/16 in']","['73 mm', '2-7/8 in']","['200 mm', '7-7/8 in']","['244.5 mm', '9-5/8 in']","['16 mm', '5/8 in']","['17.5 mm', '11/16 in']","['39.7 mm', '1-9/16 in']","['32.5 mm', '1-9/32 in']","['163.5 mm', '6-7/16 in']","['103.2 mm', '4-1/16 in']","['80.2 mm', '3-5/32 in']","['162.7 mm', '6-13/32 in']",['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']","['14.2 mm', '9/16 in']"
ESA-P2BA-TRB-2 7/16,2 7/16 in,Imperial ,6-15/16 in,8-11/16 in,2-3/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 7/16 in'],['Imperial'],['Grease - Premium Industrial'],['Type E Self-Aligning'],['Powder Coat'],['3-5/16 in'],['2 in'],['1-5/16 in'],['10-3/8 in'],['3-7/16 in'],['2-7/8 in'],['6-15/16 in'],['8-11/16 in'],['5/8 in'],['3/4 in'],['1-5/8 in'],['1-5/8 in'],['6-1/16 in'],['4-1/16 in'],['2-3/4 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
ESA-P2BA-TRB-2 7/16E,2 7/16 in,Imperial ,6-15/16 in,8-11/16 in,2-3/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 7/16 in'],['Imperial'],['Grease - Premium Industrial'],['Type E Self-Aligning'],['Powder Coat'],['3-5/16 in'],['2 in'],['1-5/16 in'],['10-3/8 in'],['3-7/16 in'],['2-7/8 in'],['6-15/16 in'],['8-11/16 in'],['5/8 in'],['3/4 in'],['1-5/8 in'],['1-5/8 in'],['6-1/16 in'],['4-1/16 in'],['2-3/4 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
SAFSA-P2BA-TRB-2 7/16,2 7/16 in,Imperial ,7-7/8 in,9-5/8 in,3-1/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 7/16 in'],['Imperial'],['Grease - Premium Industrial'],['SAF Self-Aligning'],['Powder Coat'],['3-5/16 in'],['2 in'],['1-5/16 in'],['10-7/8 in'],['3-7/16 in'],['2-7/8 in'],['7-7/8 in'],['9-5/8 in'],['5/8 in'],['11/16 in'],['1-9/16 in'],['1-3/8 in'],['6-9/16 in'],['4-1/16 in'],['3-1/4 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
SAFSA-P2BA-TRB-2 7/16E,2 7/16 in,Imperial ,7-7/8 in,9-5/8 in,3-1/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 7/16 in'],['Imperial'],['Grease - Premium Industrial'],['SAF Self-Aligning'],['Powder Coat'],['3-5/16 in'],['2 in'],['1-5/16 in'],['10-7/8 in'],['3-7/16 in'],['2-7/8 in'],['7-7/8 in'],['9-5/8 in'],['5/8 in'],['11/16 in'],['1-9/16 in'],['1-3/8 in'],['6-9/16 in'],['4-1/16 in'],['3-1/4 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
KSA-P2BA-TRB-2 7/16,2 7/16 in,Imperial ,9-1/4 in,10-1/4 in,3-1/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 7/16 in'],['Imperial'],['Grease - Premium Industrial'],['Double Interlock Self-Aligning'],['Powder Coat'],['3-5/16 in'],['2 in'],['1-5/16 in'],['12 in'],['3-7/16 in'],['2-7/8 in'],['9-1/4 in'],['10-1/4 in'],['5/8 in'],['11/16 in'],['1-3/16 in'],['1-3/8 in'],['6-9/16 in'],['4-1/16 in'],['3-1/4 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
KSA-P2BA-TRB-2 7/16E,2 7/16 in,Imperial ,9-1/4 in,10-1/4 in,3-1/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 7/16 in'],['Imperial'],['Grease - Premium Industrial'],['Double Interlock Self-Aligning'],['Powder Coat'],['3-5/16 in'],['2 in'],['1-5/16 in'],['12 in'],['3-7/16 in'],['2-7/8 in'],['9-1/4 in'],['10-1/4 in'],['5/8 in'],['11/16 in'],['1-3/16 in'],['1-3/8 in'],['6-9/16 in'],['4-1/16 in'],['3-1/4 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
SNSA-P2BA-TRB-2 7/16,2 7/16 in,Imperial ,200 mm / 7-7/8 in,244.5 mm / 9-5/8 in,80.2 mm / 3-5/32 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 7/16 in'],['Imperial'],['Grease - Premium Industrial'],['SN Self-Aligning'],['Powder Coat'],"['84.1 mm', '3-5/16 in']","['50.8 mm', '2 in']","['33.3 mm', '1-5/16 in']","['276.2 mm', '10-7/8 in']","['87.4 mm', '3-7/16 in']","['73 mm', '2-7/8 in']","['200 mm', '7-7/8 in']","['244.5 mm', '9-5/8 in']","['16 mm', '5/8 in']","['17.5 mm', '11/16 in']","['39.7 mm', '1-9/16 in']","['32.5 mm', '1-9/32 in']","['163.5 mm', '6-7/16 in']","['103.2 mm', '4-1/16 in']","['80.2 mm', '3-5/32 in']","['162.7 mm', '6-13/32 in']",['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
SNSA-P2BA-TRB-2 7/16E,2 7/16 in,Imperial ,200 mm / 7-7/8 in,244.5 mm / 9-5/8 in,80.2 mm / 3-5/32 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 7/16 in'],['Imperial'],['Grease - Premium Industrial'],['SN Self-Aligning'],['Powder Coat'],"['84.1 mm', '3-5/16 in']","['50.8 mm', '2 in']","['33.3 mm', '1-5/16 in']","['276.2 mm', '10-7/8 in']","['87.4 mm', '3-7/16 in']","['73 mm', '2-7/8 in']","['200 mm', '7-7/8 in']","['244.5 mm', '9-5/8 in']","['16 mm', '5/8 in']","['17.5 mm', '11/16 in']","['39.7 mm', '1-9/16 in']","['32.5 mm', '1-9/32 in']","['163.5 mm', '6-7/16 in']","['103.2 mm', '4-1/16 in']","['80.2 mm', '3-5/32 in']","['162.7 mm', '6-13/32 in']",['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']","['14.2 mm', '9/16 in']"
ESA-P2BA-TRB-2 1/2,2 1/2 in,Imperial ,6-15/16 in,8-11/16 in,2-3/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 1/2 in'],['Imperial'],['Grease - Premium Industrial'],['Type E Self-Aligning'],['Powder Coat'],['3-5/16 in'],['2 in'],['1-5/16 in'],['10-3/8 in'],['3-7/16 in'],['2-7/8 in'],['6-15/16 in'],['8-11/16 in'],['5/8 in'],['3/4 in'],['1-5/8 in'],['1-5/8 in'],['6-1/16 in'],['4-1/16 in'],['2-3/4 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",
ESA-P2BA-TRB-2 1/2E,2 1/2 in,Imperial ,6-15/16 in,8-11/16 in,2-3/4 in,11600 lbf,2420 rpm,Grease - Premium Industrial ,,['2 1/2 in'],['Imperial'],['Grease - Premium Industrial'],['Type E Self-Aligning'],['Powder Coat'],['3-5/16 in'],['2 in'],['1-5/16 in'],['10-3/8 in'],['3-7/16 in'],['2-7/8 in'],['6-15/16 in'],['8-11/16 in'],['5/8 in'],['3/4 in'],['1-5/8 in'],['1-5/8 in'],['6-1/16 in'],['4-1/16 in'],['2-3/4 in'],['6-13/32 in'],['0.40'],['0.87'],['2.17'],['0.7'],['2.63'],['1.51'],['11600 lbf'],['54000 lbf'],['3454 lbf'],['9500 lbf'],['2420 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['9/16 in']
