Part Number,Shaft Size,Shaft Size Type,Bolt Spacing Min,Bolt Spacing Max,Base to Center Height,C90 Dynamic Load Rating,Max. Speed,Lubrication,CAD,LinkToPart,Shaft Size,Shaft Size Type,Lubrication,Housing Type,Housing Coating,Dimension B,Dimension L,Dimension A,Dimension J Min.,Dimension J Max.,Bolt Diameter,Dimension N,Dimension N1,Dimension N2,Dimension H1,Dimension H2,Dimension d1,Dimension H,Dimension W,e,X (if Fa/Fr ≤ e),Y (if Fa/Fr ≤ e),X (if Fa/Fr > e),Y (if Fa/Fr > e),K Factor,C90 Dynamic Load Rating1,C0 Static Load Rating,Fa-max Maximum Permissible Thrust Load2,Fr-max Maximum Allowable Slip Fit Radial Load3,Max. Speed4,Note,Dimension S1,Dimension R,Dimension E,C90 Dynamic Load Rating2,Fa-max Maximum Permissible Thrust Load3,Fr-max Maximum Allowable Slip Fit Radial Load4,Max. Speed5,EXPANSION
SNSA-P4BA-TRB-2 15/16E,2 15/16 in,Imperial ,239.7 mm / 9-7/16 in,287.3 mm / 11-5/16 in,95.3 mm / 3-3/4 in,12300 lbf,2060 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-2-15-16e,2 15/16 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,93.7 mm/3-11/16 in,320.7 mm/12-5/8 in,95.3 mm/3-3/4 in,239.7 mm/9-7/16 in,287.3 mm/11-5/16 in,20 mm/3/4 in,21 mm/53/64 in,44.5 mm/1-3/4 in,52.4 mm/2-1/16 in,47.6 mm/1-7/8 in,187.3 mm/7-3/8 in,119.9 mm/4-23/32 in,95.3 mm/3-3/4 in,190.5 mm/7-1/2 in,0.46,0.87,1.87,0.7,2.26,1.30,12300 lbf,61200 lbf,5181 lbf,10000 lbf,2060 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,14.2 mm/9/16 in
ESA-P4BA-TRB-3,3 in,Imperial ,8-3/4 in,10 in,3-1/8 in,12300 lbf,2060 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-3,3 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,3-11/16 in,11-3/4 in,3-3/4 in,8-3/4 in,10 in,5/8 in,3/4 in,1-3/8 in,2-1/8 in,1-7/8 in,6-3/4 in,4-23/32 in,3-1/8 in,7-1/2 in,0.46,0.87,1.87,0.7,2.26,1.30,,61200 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/4 in,1-7/16 in,4-1/8 in,12300 lbf,5181 lbf,10000 lbf,2060 rpm,
ESA-P4BA-TRB-3E,3 in,Imperial ,8-3/4 in,10 in,3-1/8 in,12300 lbf,2060 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-3e,3 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,3-11/16 in,11-3/4 in,3-3/4 in,8-3/4 in,10 in,5/8 in,3/4 in,1-3/8 in,2-1/8 in,1-7/8 in,6-3/4 in,4-23/32 in,3-1/8 in,7-1/2 in,0.46,0.87,1.87,0.7,2.26,1.30,,61200 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/4 in,1-7/16 in,4-1/8 in,12300 lbf,5181 lbf,10000 lbf,2060 rpm,9/16 in
SAFSA-P4BA-TRB-3,3 in,Imperial ,9-7/16 in,11-5/16 in,3-3/4 in,12300 lbf,2060 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-3,3 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,3-11/16 in,12-5/8 in,3-3/4 in,9-7/16 in,11-5/16 in,5/8 in,11/16 in,1-5/8 in,2-1/8 in,1-7/8 in,7-3/8 in,4-23/32 in,3-3/4 in,7-1/2 in,0.46,0.87,1.87,0.7,2.26,1.30,,61200 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/4 in,1-7/16 in,4-1/8 in,12300 lbf,5181 lbf,10000 lbf,2060 rpm,
SAFSA-P4BA-TRB-3E,3 in,Imperial ,9-7/16 in,11-5/16 in,3-3/4 in,12300 lbf,2060 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-3e,3 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,3-11/16 in,12-5/8 in,3-3/4 in,9-7/16 in,11-5/16 in,5/8 in,11/16 in,1-5/8 in,2-1/8 in,1-7/8 in,7-3/8 in,4-23/32 in,3-3/4 in,7-1/2 in,0.46,0.87,1.87,0.7,2.26,1.30,,61200 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/4 in,1-7/16 in,4-1/8 in,12300 lbf,5181 lbf,10000 lbf,2060 rpm,9/16 in
KSA-P4BA-TRB-3,3 in,Imperial ,9-7/8 in,11-1/2 in,3-3/4 in,12300 lbf,2060 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/ksa-p4ba-trb-3,3 in,Imperial,Grease - Premium Industrial,Double Interlock Self-Aligning,Powder Coat,3-11/16 in,12-5/8 in,3-3/4 in,9-7/8 in,11-1/2 in,5/8 in,11/16 in,1-1/2 in,1-7/8 in,1-7/8 in,7-3/8 in,4-23/32 in,3-3/4 in,7-1/2 in,0.46,0.87,1.87,0.7,2.26,1.30,,61200 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/4 in,1-7/16 in,4-1/8 in,12300 lbf,5181 lbf,10000 lbf,2060 rpm,
KSA-P4BA-TRB-3E,3 in,Imperial ,9-7/8 in,11-1/2 in,3-3/4 in,12300 lbf,2060 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/ksa-p4ba-trb-3e,3 in,Imperial,Grease - Premium Industrial,Double Interlock Self-Aligning,Powder Coat,3-11/16 in,12-5/8 in,3-3/4 in,9-7/8 in,11-1/2 in,5/8 in,11/16 in,1-1/2 in,1-7/8 in,1-7/8 in,7-3/8 in,4-23/32 in,3-3/4 in,7-1/2 in,0.46,0.87,1.87,0.7,2.26,1.30,,61200 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/4 in,1-7/16 in,4-1/8 in,12300 lbf,5181 lbf,10000 lbf,2060 rpm,9/16 in
SNSA-P4BA-TRB-3,3 in,Imperial ,239.7 mm / 9-7/16 in,287.3 mm / 11-5/16 in,95.3 mm / 3-3/4 in,12300 lbf,2060 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-3,3 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,93.7 mm/3-11/16 in,320.7 mm/12-5/8 in,95.3 mm/3-3/4 in,239.7 mm/9-7/16 in,287.3 mm/11-5/16 in,20 mm/3/4 in,21 mm/53/64 in,44.5 mm/1-3/4 in,52.4 mm/2-1/16 in,47.6 mm/1-7/8 in,187.3 mm/7-3/8 in,119.9 mm/4-23/32 in,95.3 mm/3-3/4 in,190.5 mm/7-1/2 in,0.46,0.87,1.87,0.7,2.26,1.30,12300 lbf,61200 lbf,5181 lbf,10000 lbf,2060 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,
SNSA-P4BA-TRB-3E,3 in,Imperial ,239.7 mm / 9-7/16 in,287.3 mm / 11-5/16 in,95.3 mm / 3-3/4 in,12300 lbf,2060 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-3e,3 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,93.7 mm/3-11/16 in,320.7 mm/12-5/8 in,95.3 mm/3-3/4 in,239.7 mm/9-7/16 in,287.3 mm/11-5/16 in,20 mm/3/4 in,21 mm/53/64 in,44.5 mm/1-3/4 in,52.4 mm/2-1/16 in,47.6 mm/1-7/8 in,187.3 mm/7-3/8 in,119.9 mm/4-23/32 in,95.3 mm/3-3/4 in,190.5 mm/7-1/2 in,0.46,0.87,1.87,0.7,2.26,1.30,12300 lbf,61200 lbf,5181 lbf,10000 lbf,2060 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,14.2 mm/9/16 in
ESA-P4BA-TRB-3 3/16,3 3/16 in,Imperial ,10-9/16 in,11-3/4 in,3-3/4 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-3-3-16,3 3/16 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,4-3/16 in,13-3/4 in,4-1/2 in,10-9/16 in,11-3/4 in,3/4 in,7/8 in,1-15/32 in,2-3/8 in,2-1/4 in,7-15/16 in,5-17/32 in,3-3/4 in,9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,,108600 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/2 in,1-11/16 in,4-3/4 in,19600 lbf,5181 lbf,16000 lbf,1640 rpm,
ESA-P4BA-TRB-3 3/16E,3 3/16 in,Imperial ,10-9/16 in,11-3/4 in,3-3/4 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-3-3-16e,3 3/16 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,4-3/16 in,13-3/4 in,4-1/2 in,10-9/16 in,11-3/4 in,3/4 in,7/8 in,1-15/32 in,2-3/8 in,2-1/4 in,7-15/16 in,5-17/32 in,3-3/4 in,9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,,108600 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/2 in,1-11/16 in,4-3/4 in,19600 lbf,5181 lbf,16000 lbf,1640 rpm,9/16 in
SNSA-P4BA-TRB-3 3/16E,3 3/16 in,Imperial ,282.6 mm / 11-1/8 in,298.5 mm / 11-3/4 in,100 mm / 3-15/16 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-3-3-16e,3 3/16 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,106.4 mm/4-3/16 in,344.9 mm/13-37/64 in,114.3 mm/4-1/2 in,282.6 mm/11-1/8 in,298.5 mm/11-3/4 in,16 mm/5/8 in,17.5 mm/11/16 in,25.4 mm/1 in,50 mm/1-31/32 in,45.2 mm/1-25/32 in,206.4 mm/8-1/8 in,140.5 mm/5-17/32 in,100 mm/3-15/16 in,236.5 mm/9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,14.2 mm/9/16 in
ESA-P4BA-TRB-3 1/4,3 1/4 in,Imperial ,10-9/16 in,11-3/4 in,3-3/4 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-3-1-4,3 1/4 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,4-3/16 in,13-3/4 in,4-1/2 in,10-9/16 in,11-3/4 in,3/4 in,7/8 in,1-15/32 in,2-3/8 in,2-1/4 in,7-15/16 in,5-17/32 in,3-3/4 in,9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,,108600 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/2 in,1-11/16 in,4-3/4 in,19600 lbf,5181 lbf,16000 lbf,1640 rpm,
ESA-P4BA-TRB-3 1/4E,3 1/4 in,Imperial ,10-9/16 in,11-3/4 in,3-3/4 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-3-1-4e,3 1/4 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,4-3/16 in,13-3/4 in,4-1/2 in,10-9/16 in,11-3/4 in,3/4 in,7/8 in,1-15/32 in,2-3/8 in,2-1/4 in,7-15/16 in,5-17/32 in,3-3/4 in,9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,,108600 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/2 in,1-11/16 in,4-3/4 in,19600 lbf,5181 lbf,16000 lbf,1640 rpm,9/16 in
SAFSA-P4BA-TRB-3 1/4,3 1/4 in,Imperial ,10-1/2 in,11-3/4 in,4 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-3-1-4,3 1/4 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,4-3/16 in,13-19/32 in,4-1/2 in,10-1/2 in,11-3/4 in,5/8 in,11/16 in,1-5/16 in,2-1/8 in,1-27/32 in,8-3/16 in,5-17/32 in,4 in,9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,,108600 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/2 in,1-11/16 in,4-3/4 in,19600 lbf,5181 lbf,16000 lbf,1640 rpm,
SAFSA-P4BA-TRB-3 1/4E,3 1/4 in,Imperial ,10-1/2 in,11-3/4 in,4 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-3-1-4e,3 1/4 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,4-3/16 in,13-19/32 in,4-1/2 in,10-1/2 in,11-3/4 in,5/8 in,11/16 in,1-5/16 in,2-1/8 in,1-27/32 in,8-3/16 in,5-17/32 in,4 in,9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,,108600 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/2 in,1-11/16 in,4-3/4 in,19600 lbf,5181 lbf,16000 lbf,1640 rpm,9/16 in
SNSA-P4BA-TRB-3 1/4,3 1/4 in,Imperial ,282.6 mm / 11-1/8 in,298.5 mm / 11-3/4 in,100 mm / 3-15/16 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-3-1-4,3 1/4 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,106.4 mm/4-3/16 in,344.9 mm/13-37/64 in,114.3 mm/4-1/2 in,282.6 mm/11-1/8 in,298.5 mm/11-3/4 in,16 mm/5/8 in,17.5 mm/11/16 in,25.4 mm/1 in,50 mm/1-31/32 in,45.2 mm/1-25/32 in,206.4 mm/8-1/8 in,140.5 mm/5-17/32 in,100 mm/3-15/16 in,236.5 mm/9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,
SNSA-P4BA-TRB-3 1/4E,3 1/4 in,Imperial ,282.6 mm / 11-1/8 in,298.5 mm / 11-3/4 in,100 mm / 3-15/16 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-3-1-4e,3 1/4 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,106.4 mm/4-3/16 in,344.9 mm/13-37/64 in,114.3 mm/4-1/2 in,282.6 mm/11-1/8 in,298.5 mm/11-3/4 in,16 mm/5/8 in,17.5 mm/11/16 in,25.4 mm/1 in,50 mm/1-31/32 in,45.2 mm/1-25/32 in,206.4 mm/8-1/8 in,140.5 mm/5-17/32 in,100 mm/3-15/16 in,236.5 mm/9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,14.2 mm/9/16 in
SNSA-P4BA-TRB-3 7/16E,3 7/16 in,Imperial ,276.2 mm / 10-7/8 in,339.7 mm / 13-3/8 in,111.9 mm / 4-13/32 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/snsa-p4ba-trb-3-7-16e,3 7/16 in,Imperial,Grease - Premium Industrial,SN Self-Aligning,Powder Coat,106.4 mm/4-3/16 in,381 mm/15 in,114.3 mm/4-1/2 in,276.2 mm/10-7/8 in,339.7 mm/13-3/8 in,20 mm/3/4 in,21 mm/53/64 in,52.8 mm/2-5/64 in,60.3 mm/2-3/8 in,48.4 mm/1-29/32 in,218.3 mm/8-19/32 in,140.5 mm/5-17/32 in,111.9 mm/4-13/32 in,236.5 mm/9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,19600 lbf,108600 lbf,5181 lbf,16000 lbf,1640 rpm,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",,,,,,,,14.2 mm/9/16 in
ESA-P4BA-TRB-3 7/16,3 7/16 in,Imperial ,10-9/16 in,11-3/4 in,3-3/4 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-3-7-16,3 7/16 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,4-3/16 in,13-3/4 in,4-1/2 in,10-9/16 in,11-3/4 in,3/4 in,7/8 in,1-15/32 in,2-3/8 in,2-1/4 in,7-15/16 in,5-17/32 in,3-3/4 in,9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,,108600 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/2 in,1-11/16 in,4-3/4 in,19600 lbf,5181 lbf,16000 lbf,1640 rpm,
ESA-P4BA-TRB-3 7/16E,3 7/16 in,Imperial ,10-9/16 in,11-3/4 in,3-3/4 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/esa-p4ba-trb-3-7-16e,3 7/16 in,Imperial,Grease - Premium Industrial,Type E Self-Aligning,Powder Coat,4-3/16 in,13-3/4 in,4-1/2 in,10-9/16 in,11-3/4 in,3/4 in,7/8 in,1-15/32 in,2-3/8 in,2-1/4 in,7-15/16 in,5-17/32 in,3-3/4 in,9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,,108600 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/2 in,1-11/16 in,4-3/4 in,19600 lbf,5181 lbf,16000 lbf,1640 rpm,9/16 in
SAFSA-P4BA-TRB-3 3/16,3 7/16 in,Imperial ,10-1/2 in,11-3/4 in,4 in,19600 lbf,1640 rpm,Grease - Premium Industrial ,,https://cad.timken.com/item/self-aligning-mounted-tapered-roller-bearings/-bearing-pillow-block-4-bolt-base-mounted-bearings/safsa-p4ba-trb-3-3-16,3 7/16 in,Imperial,Grease - Premium Industrial,SAF Self-Aligning,Powder Coat,4-3/16 in,13-19/32 in,4-1/2 in,10-1/2 in,11-3/4 in,5/8 in,11/16 in,1-5/16 in,2-1/8 in,1-27/32 in,8-3/16 in,5-17/32 in,4 in,9-5/16 in,0.50,0.87,1.71,0.7,2.07,1.19,,108600 lbf,,,,"Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shownare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars withstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.",2-1/2 in,1-11/16 in,4-3/4 in,19600 lbf,5181 lbf,16000 lbf,1640 rpm,
