Part Number,Bearing Number,Shaft Size,Base to Center Height,Bolt Spacing Min,Bolt Spacing Max,C0 - Static Load,C - Dynamic Load (Basic),CAD,Engineering Group,Bearing Number,Shaft Size,Shaft Size Type,Full Timken Part Number,Locking Style,Housing Construction,UPC Code,Dimension A,Dimension B,Dimension C,Dimension D Min,Dimension D Max,Dimension E,Dimension F,Dimension G,Dimension H,Dimension J (Bolt Size),Dimension L,Dimension RVV,Dimension SVV,C0 - Static Load,C - Dynamic Load (Basic),e - Geometry Factor,Y1 - Geometry Factor,Y2 - Geometry Factor,Oil Lubrication - M/N Seal,Oil Lubrication - T Seal,Oil Lubrication - B/C/O Seal,Grease Lubrication - M/N Seal,Grease Lubrication - T Seal,Grease Lubrication - B/C/O Seal,Float,Shaft Tolerance,Eng Internal Radial Clearance - Min,Eng Internal Radial Clearance - Max,Pre Install Clearance Min,Pre Install Clearance Max
QVVPR19V303S,22219 ,3 3/16 in,3.75 in / 95.3 mm,9.25 in / 235 mm,11.25 in / 285.8 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 3/16 in,Imperial,QVVPR19V303SB/QVVPR19V303SC/QVVPR19V303SEB/QVVPR19V303SEC/QVVPR19V303SEM/QVVPR19V303SEN/QVVPR19V303SEO/QVVPR19V303SET/QVVPR19V303SM/QVVPR19V303SN/QVVPR19V303SO/QVVPR19V303ST,Double V-Lock,Four-Bolt Pillow Block,0883450081313/0883450081344/0883450081412/0883450175753/0883450175944/0883450176132/0883450204590/0883450204910/0883450217019/0883450217330/0883450229432/0883450229753,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,9.25 in/235 mm,11.25 in/285.8 mm,2.38 in/60.5 mm,13.63 in/346.2 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.57 in/14.5 mm,4.63 in/117.6 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPK20V303S,22220 ,3 3/16 in,5 in / 127 mm,12.5 in / 317.5 mm,14 in / 355.6 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 3/16 in,Imperial,QVVPK20V303SB/QVVPK20V303SC/QVVPK20V303SEB/QVVPK20V303SEC/QVVPK20V303SEM/QVVPK20V303SEN/QVVPK20V303SEO/QVVPK20V303SET/QVVPK20V303SM/QVVPK20V303SN/QVVPK20V303SO/QVVPK20V303ST,Double V-Lock,Four-Bolt Pillow Block,0883450149457/0883450149624/0883450153904/0883450153997/0883450176996/0883450177085/0883450187022/0883450187190/0883450279659/0883450279741/0883450283854/0883450283946,5 in/127 mm,9.44 in/239.8 mm,4.9 in/124.5 mm,12.5 in/317.5 mm,14 in/355.6 mm,3.5 in/88.9 mm,16.75 in/425.5 mm,5.5 in/139.7 mm,1.63 in/41.4 mm,0.875 in/24 mm,5.07 in/128.8 mm,0.35 in/8.9 mm,4.63 in/117.6 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVVPX19V303S,22219 ,3 3/16 in,4 in / 101.6 mm,10.81 in / 274.6 mm,12.19 in / 309.6 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 3/16 in,Imperial,QVVPX19V303SB/QVVPX19V303SC/QVVPX19V303SEB/QVVPX19V303SEC/QVVPX19V303SEM/QVVPX19V303SEN/QVVPX19V303SEO/QVVPX19V303SET/QVVPX19V303SM/QVVPX19V303SN/QVVPX19V303SO/QVVPX19V303ST,Double V-Lock,Four-Bolt Pillow Block,0883450371957/0883450371964/0883450371971/0883450371988/0883450371995/0883450372008/0883450372015/0883450372022/0883450372039/0883450372046/0883450372053/0883450372060,4 in/101.6 mm,7.92 in/201.2 mm,4.9 in/124.5 mm,10.81 in/274.6 mm,12.19 in/309.6 mm,3 in/76.2 mm,15 in/381 mm,4.75 in/120.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,4.69 in/119.1 mm,0.57 in/14.5 mm,4.63 in/117.6 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPG19V303S,22219 ,3 3/16 in,3.94 in / 100 mm,11.13 in / 282.7 mm,11.75 in / 298.5 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 3/16 in,Imperial,QVVPG19V303SB/QVVPG19V303SC/QVVPG19V303SEB/QVVPG19V303SEC/QVVPG19V303SEM/QVVPG19V303SEN/QVVPG19V303SEO/QVVPG19V303SET/QVVPG19V303SM/QVVPG19V303SN/QVVPG19V303SO/QVVPG19V303ST,Double V-Lock,Four-Bolt Pillow Block,883450425001/883450425018/883450425025/883450425032/883450425049/883450425056/883450425063/883450425070/883450425087/883450425094/883450425100/883450425117,3.94 in/100 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,11.13 in/282.7 mm,11.75 in/298.5 mm,1.97 in/50 mm,13.58 in/344.9 mm,3.94 in/100.1 mm,1.56 in/39.6 mm,0.625 in/20 mm,4.3 in/109.2 mm,0.76 in/19.3 mm,4.65 in/118.1 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPH19V303S,22219 ,3 3/16 in,4 in / 101.6 mm,10 in / 254 mm,11.75 in / 298.5 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 3/16 in,Imperial,QVVPH19V303SB/QVVPH19V303SC/QVVPH19V303SEB/QVVPH19V303SEC/QVVPH19V303SEM/QVVPH19V303SEN/QVVPH19V303SEO/QVVPH19V303SET/QVVPH19V303SM/QVVPH19V303SN/QVVPH19V303SO/QVVPH19V303ST,Double V-Lock,Four-Bolt Pillow Block,883450564618/883450564625/883450586054/883450586061/883450586078/883450586085/883450586092/883450586108/883450586115/883450586122/883450586139/883450586146,4 in/101.6 mm,7.96 in/202.2 mm,4.9 in/124.5 mm,10 in/254 mm,11.75 in/298.5 mm,2.13 in/54.1 mm,13.75 in/349.3 mm,3.88 in/98.4 mm,1.63 in/41.3 mm,0.625 in/16 mm,4.18 in/106.3 mm,0.68 in/17.2 mm,4.49 in/114.1 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPF19V304S,22219 ,3 1/4 in,3.75 in / 95.3 mm,8.88 in / 225.6 mm,10.88 in / 276.4 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/4 in,Imperial,QVVPF19V304SB/QVVPF19V304SC/QVVPF19V304SEB/QVVPF19V304SEC/QVVPF19V304SEM/QVVPF19V304SEN/QVVPF19V304SEO/QVVPF19V304SET/QVVPF19V304SM/QVVPF19V304SN/QVVPF19V304SO/QVVPF19V304ST,Double V-Lock,Four-Bolt Pillow Block,0883450173865/0883450174053/0883450174244/0883450174329/0883450174510/0883450174701/0883450203876/0883450204255/0883450216296/0883450216678/0883450228718/0883450229098,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,8.88 in/225.6 mm,10.88 in/276.4 mm,2 in/50.8 mm,12.3 in/312.4 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.57 in/14.5 mm,4.63 in/117.6 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPH20V304S,22220 ,3 1/4 in,4.5 in / 114.3 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 1/4 in,Imperial,QVVPH20V304SB/QVVPH20V304SC/QVVPH20V304SEB/QVVPH20V304SEC/QVVPH20V304SEM/QVVPH20V304SEN/QVVPH20V304SEO/QVVPH20V304SET/QVVPH20V304SM/QVVPH20V304SN/QVVPH20V304SO/QVVPH20V304ST,Double V-Lock,Four-Bolt Pillow Block,0883450148702/0883450148931/0883450153393/0883450153546/0883450176385/0883450176583/0883450185592/0883450185745/0883450279147/0883450279291/0883450283342/0883450283496,4.5 in/114.3 mm,8.54 in/216.9 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2.38 in/60.5 mm,15 in/381 mm,4.31 in/109.5 mm,1.65 in/41.9 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.44 in/11.2 mm,4.63 in/117.6 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVVPR19V304S,22219 ,3 1/4 in,3.75 in / 95.3 mm,9.25 in / 235 mm,11.25 in / 285.8 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/4 in,Imperial,QVVPR19V304SB/QVVPR19V304SC/QVVPR19V304SEB/QVVPR19V304SEC/QVVPR19V304SEM/QVVPR19V304SEN/QVVPR19V304SEO/QVVPR19V304SET/QVVPR19V304SM/QVVPR19V304SN/QVVPR19V304SO/QVVPR19V304ST,Double V-Lock,Four-Bolt Pillow Block,0883450175760/0883450175951/0883450176149/0883450176224/0883450176415/0883450176606/0883450204606/0883450204927/0883450217026/0883450217347/0883450229449/0883450229760,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,9.25 in/235 mm,11.25 in/285.8 mm,2.38 in/60.5 mm,13.63 in/346.2 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.57 in/14.5 mm,4.63 in/117.6 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPK20V304S,22220 ,3 1/4 in,5 in / 127 mm,12.5 in / 317.5 mm,14 in / 355.6 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 1/4 in,Imperial,QVVPK20V304SB/QVVPK20V304SC/QVVPK20V304SEB/QVVPK20V304SEC/QVVPK20V304SEM/QVVPK20V304SEN/QVVPK20V304SEO/QVVPK20V304SET/QVVPK20V304SM/QVVPK20V304SN/QVVPK20V304SO/QVVPK20V304ST,Double V-Lock,Four-Bolt Pillow Block,0883450149488/0883450149631/0883450153911/0883450154000/0883450177009/0883450177092/0883450187039/0883450187206/0883450279666/0883450279758/0883450283861/0883450283953,5 in/127 mm,9.44 in/239.8 mm,4.9 in/124.5 mm,12.5 in/317.5 mm,14 in/355.6 mm,3.5 in/88.9 mm,16.75 in/425.5 mm,5.5 in/139.7 mm,1.63 in/41.4 mm,0.875 in/24 mm,5.07 in/128.8 mm,0.35 in/8.9 mm,4.63 in/117.6 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVVPX19V304S,22219 ,3 1/4 in,4 in / 101.6 mm,10.81 in / 274.6 mm,12.19 in / 309.6 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/4 in,Imperial,QVVPX19V304SB/QVVPX19V304SC/QVVPX19V304SEB/QVVPX19V304SEC/QVVPX19V304SEM/QVVPX19V304SEN/QVVPX19V304SEO/QVVPX19V304SET/QVVPX19V304SM/QVVPX19V304SN/QVVPX19V304SO/QVVPX19V304ST,Double V-Lock,Four-Bolt Pillow Block,0883450372077/0883450372084/0883450372091/0883450372107/0883450372114/0883450372121/0883450372138/0883450372145/0883450372152/0883450372169/0883450372176/0883450372183,4 in/101.6 mm,7.92 in/201.2 mm,4.9 in/124.5 mm,10.81 in/274.6 mm,12.19 in/309.6 mm,3 in/76.2 mm,15 in/381 mm,4.75 in/120.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,4.69 in/119.1 mm,0.57 in/14.5 mm,4.63 in/117.6 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPG19V304S,22219 ,3 1/4 in,3.94 in / 100 mm,11.13 in / 282.7 mm,11.75 in / 298.5 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/4 in,Imperial,QVVPG19V304SB/QVVPG19V304SC/QVVPG19V304SEB/QVVPG19V304SEC/QVVPG19V304SEM/QVVPG19V304SEN/QVVPG19V304SEO/QVVPG19V304SET/QVVPG19V304SM/QVVPG19V304SN/QVVPG19V304SO/QVVPG19V304ST,Double V-Lock,Four-Bolt Pillow Block,883450425124/883450425131/883450425148/883450425155/883450425162/883450425179/883450425186/883450425193/883450425209/883450425216/883450425223/883450425230,3.94 in/100 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,11.13 in/282.7 mm,11.75 in/298.5 mm,1.97 in/50 mm,13.58 in/344.9 mm,3.94 in/100.1 mm,1.56 in/39.6 mm,0.625 in/20 mm,4.3 in/109.2 mm,0.76 in/19.3 mm,4.65 in/118.1 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPH19V304S,22219 ,3 1/4 in,4 in / 101.6 mm,10 in / 254 mm,11.75 in / 298.5 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/4 in,Imperial,QVVPH19V304SB/QVVPH19V304SC/QVVPH19V304SEB/QVVPH19V304SEC/QVVPH19V304SEM/QVVPH19V304SEN/QVVPH19V304SEO/QVVPH19V304SET/QVVPH19V304SM/QVVPH19V304SN/QVVPH19V304SO/QVVPH19V304ST,Double V-Lock,Four-Bolt Pillow Block,883450564632/883450564649/883450586153/883450586160/883450586177/883450586184/883450586191/883450586207/883450586214/883450586221/883450586238/883450586245,4 in/101.6 mm,7.96 in/202.2 mm,4.9 in/124.5 mm,10 in/254 mm,11.75 in/298.5 mm,2.13 in/54.1 mm,13.75 in/349.3 mm,3.88 in/98.4 mm,1.63 in/41.3 mm,0.625 in/16 mm,4.18 in/106.3 mm,0.68 in/17.2 mm,4.49 in/114.1 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPF19V307S,22219 ,3 7/16 in,3.75 in / 95.3 mm,8.88 in / 225.6 mm,10.88 in / 276.4 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 7/16 in,Imperial,QVVPF19V307SB/QVVPF19V307SC/QVVPF19V307SEB/QVVPF19V307SEC/QVVPF19V307SEM/QVVPF19V307SEN/QVVPF19V307SEO/QVVPF19V307SET/QVVPF19V307SM/QVVPF19V307SN/QVVPF19V307SO/QVVPF19V307ST,Double V-Lock,Four-Bolt Pillow Block,0883450173889/0883450174077/0883450174268/0883450174343/0883450174534/0883450174725/0883450203890/0883450204279/0883450216319/0883450216692/0883450228732/0883450229111,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,8.88 in/225.6 mm,10.88 in/276.4 mm,2 in/50.8 mm,12.3 in/312.4 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.57 in/14.5 mm,4.63 in/117.6 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPG20V307S,22220 ,3 7/16 in,4.41 in / 112 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 7/16 in,Imperial,QVVPG20V307SB/QVVPG20V307SC/QVVPG20V307SEB/QVVPG20V307SEC/QVVPG20V307SEM/QVVPG20V307SEN/QVVPG20V307SEO/QVVPG20V307SET/QVVPG20V307SM/QVVPG20V307SN/QVVPG20V307SO/QVVPG20V307ST,Double V-Lock,Four-Bolt Pillow Block,0883450075947/0883450075954/0883450208864/0883450209014/0883450221290/0883450221443/0883450233729/0883450233873/0883450242462/0883450242615/0883450247429/0883450247573,4.41 in/112 mm,8.45 in/214.6 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2.38 in/60.5 mm,15 in/381 mm,4.31 in/109.5 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.44 in/11.2 mm,4.63 in/117.6 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVVPH20V307S,22220 ,3 7/16 in,4.5 in / 114.3 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 7/16 in,Imperial,QVVPH20V307SB/QVVPH20V307SC/QVVPH20V307SEB/QVVPH20V307SEC/QVVPH20V307SEM/QVVPH20V307SEN/QVVPH20V307SEO/QVVPH20V307SET/QVVPH20V307SM/QVVPH20V307SN/QVVPH20V307SO/QVVPH20V307ST,Double V-Lock,Four-Bolt Pillow Block,0883450076289/0883450076296/0883450209168/0883450209311/0883450221597/0883450221740/0883450234023/0883450234177/0883450242769/0883450242912/0883450247726/0883450247870,4.5 in/114.3 mm,8.54 in/216.9 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2.38 in/60.5 mm,15 in/381 mm,4.31 in/109.5 mm,1.65 in/41.9 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.44 in/11.2 mm,4.63 in/117.6 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVVPR19V307S,22219 ,3 7/16 in,3.75 in / 95.3 mm,9.25 in / 235 mm,11.25 in / 285.8 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 7/16 in,Imperial,QVVPR19V307SB/QVVPR19V307SC/QVVPR19V307SEB/QVVPR19V307SEC/QVVPR19V307SEM/QVVPR19V307SEN/QVVPR19V307SEO/QVVPR19V307SET/QVVPR19V307SM/QVVPR19V307SN/QVVPR19V307SO/QVVPR19V307ST,Double V-Lock,Four-Bolt Pillow Block,0883450175784/0883450175975/0883450176163/0883450176248/0883450176439/0883450176620/0883450204620/0883450204941/0883450217040/0883450217361/0883450229463/0883450229784,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,9.25 in/235 mm,11.25 in/285.8 mm,2.38 in/60.5 mm,13.63 in/346.2 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.57 in/14.5 mm,4.63 in/117.6 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPK20V307S,22220 ,3 7/16 in,5 in / 127 mm,12.5 in / 317.5 mm,14 in / 355.6 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 7/16 in,Imperial,QVVPK20V307SB/QVVPK20V307SC/QVVPK20V307SEB/QVVPK20V307SEC/QVVPK20V307SEM/QVVPK20V307SEN/QVVPK20V307SEO/QVVPK20V307SET/QVVPK20V307SM/QVVPK20V307SN/QVVPK20V307SO/QVVPK20V307ST,Double V-Lock,Four-Bolt Pillow Block,0883450077040/0883450077118/0883450209540/0883450209694/0883450221979/0883450222129/0883450234467/0883450234610/0883450243148/0883450243292/0883450248105/0883450248259,5 in/127 mm,9.44 in/239.8 mm,4.9 in/124.5 mm,12.5 in/317.5 mm,14 in/355.6 mm,3.5 in/88.9 mm,16.75 in/425.5 mm,5.5 in/139.7 mm,1.63 in/41.4 mm,0.875 in/24 mm,5.07 in/128.8 mm,0.35 in/8.9 mm,4.63 in/117.6 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
QVVPX19V307S,22219 ,3 7/16 in,4 in / 101.6 mm,10.81 in / 274.6 mm,12.19 in / 309.6 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 7/16 in,Imperial,QVVPX19V307SB/QVVPX19V307SC/QVVPX19V307SEB/QVVPX19V307SEC/QVVPX19V307SEM/QVVPX19V307SEN/QVVPX19V307SEO/QVVPX19V307SET/QVVPX19V307SM/QVVPX19V307SN/QVVPX19V307SO/QVVPX19V307ST,Double V-Lock,Four-Bolt Pillow Block,0883450372190/0883450372206/0883450372213/0883450372220/0883450372237/0883450372244/0883450372251/0883450372268/0883450372275/0883450372282/0883450372299/0883450372305,4 in/101.6 mm,7.92 in/201.2 mm,4.9 in/124.5 mm,10.81 in/274.6 mm,12.19 in/309.6 mm,3 in/76.2 mm,15 in/381 mm,4.75 in/120.7 mm,1.5 in/38.1 mm,0.75 in/20 mm,4.69 in/119.1 mm,0.57 in/14.5 mm,4.63 in/117.6 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPF19V308S,22219 ,3 1/2 in,3.75 in / 95.3 mm,8.88 in / 225.6 mm,10.88 in / 276.4 mm,99000 lbf / 441000 N,86600 lbf / 385000 N,,Mounted Bearing,22219,3 1/2 in,Imperial,QVVPF19V308SB/QVVPF19V308SC/QVVPF19V308SEB/QVVPF19V308SEC/QVVPF19V308SEM/QVVPF19V308SEN/QVVPF19V308SEO/QVVPF19V308SET/QVVPF19V308SM/QVVPF19V308SN/QVVPF19V308SO/QVVPF19V308ST,Double V-Lock,Four-Bolt Pillow Block,0883450173896/0883450174084/0883450174275/0883450174350/0883450174541/0883450174732/0883450203906/0883450204286/0883450216326/0883450216708/0883450228749/0883450229128,3.75 in/95.3 mm,7.69 in/195.3 mm,4.9 in/124.5 mm,8.88 in/225.6 mm,10.88 in/276.4 mm,2 in/50.8 mm,12.3 in/312.4 mm,3.75 in/95.3 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.19 in/106.4 mm,0.57 in/14.5 mm,4.63 in/117.6 mm,99000 lbf/441000 N,86600 lbf/385000 N,0.23,2.88,4.29,1300 rpm,2200 rpm,1000 rpm,1300 rpm,1800 rpm,950 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.110 mm,0.0055 in/0.140 mm
QVVPG20V308S,22220 ,3 1/2 in,4.41 in / 112 mm,10.88 in / 276.4 mm,13.38 in / 339.9 mm,113000 lbf / 502000 N,97700 lbf / 435000 N,,Mounted Bearing,22220,3 1/2 in,Imperial,QVVPG20V308SB/QVVPG20V308SC/QVVPG20V308SEB/QVVPG20V308SEC/QVVPG20V308SEM/QVVPG20V308SEN/QVVPG20V308SEO/QVVPG20V308SET/QVVPG20V308SM/QVVPG20V308SN/QVVPG20V308SO/QVVPG20V308ST,Double V-Lock,Four-Bolt Pillow Block,0883450075961/0883450075978/0883450208871/0883450209021/0883450221306/0883450221450/0883450233736/0883450233880/0883450242479/0883450242622/0883450247436/0883450247580,4.41 in/112 mm,8.45 in/214.6 mm,4.9 in/124.5 mm,10.88 in/276.4 mm,13.38 in/339.9 mm,2.38 in/60.5 mm,15 in/381 mm,4.31 in/109.5 mm,1.56 in/39.6 mm,0.75 in/20 mm,4.47 in/113.5 mm,0.44 in/11.2 mm,4.63 in/117.6 mm,113000 lbf/502000 N,97700 lbf/435000 N,0.24,2.85,4.24,1200 rpm,2000 rpm,900 rpm,1200 rpm,1600 rpm,900 rpm,0.083 in/2.108 mm,0.0030 in/0.076 mm,0.0043,0.0055,0.0043 in/0.109 mm,0.0055 in/0.140 mm
