Part Number,Shaft Size,Shaft Size Type,Dimension L,Dimension A,C90 Dynamic Load Rating,Max. Speed,Lubrication,Housing Coating,CAD,Shaft Size,Shaft Size Type,UPC Code,Lubrication,Housing Coating,Dimension B,Dimension L,Dimension A,Dimension J Min.,Dimension J Max.,Bolt Diameter,Dimension N,Dimension N1,Dimension H1,Dimension H2,Dimension d1,Dimension H,e,X (if Fa/Fr ≤ e),Y (if Fa/Fr ≤ e),X (if Fa/Fr > e),Y (if Fa/Fr > e),K Factor,C90 Dynamic Load Rating1,C0 Static Load Rating,Fa-max Maximum Permissible Thrust Load2,Fr-max Maximum Allowable Slip Fit Radial Load3,Max. Speed4,Note,Type E Closed Cover Number,Dimension Ac,Dimension d2,Type E Open Cover Number
E-P2B-TRB-1 3/4-ECO/ECC,1 3/4 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 3/4 in'],['Imperial'],['0883450505536'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-D'],['4.564 in'],['4.196 in'],['EUDR-1 3/4']
E-P2B-TRB-1 3/4-ECO/ECO,1 3/4 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 3/4 in'],['Imperial'],['0883450508766'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['4.664 in'],['4.196 in'],['EUDR-1 3/4']
E-P2B-TRB-1 3/4-ECO,1 3/4 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 3/4 in'],['Imperial'],['0883450507134'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['3.582 in'],['4.196 in'],['EUDR-1 3/4']
E-P2B-TRB-1 3/4-SLA,1 3/4 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Solid Lube - Industrial ,E-Coat ,,['1 3/4 in'],['Imperial'],,['Solid Lube - Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 3/4-SLJ,1 3/4 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Solid Lube - Food Grade ,E-Coat ,,['1 3/4 in'],['Imperial'],,['Solid Lube - Food Grade'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 7/8,1 7/8 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 7/8 in'],['Imperial'],['053893587158'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 7/8-ECC,1 7/8 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 7/8 in'],['Imperial'],['0883450503945'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-D'],['3.482 in'],['4.196 in'],
E-P2B-TRB-1 7/8-ECO/ECC,1 7/8 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 7/8 in'],['Imperial'],['0883450505574'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-D'],['4.564 in'],['4.196 in'],['EUDR-1 7/8']
E-P2B-TRB-1 7/8-ECO/ECO,1 7/8 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 7/8 in'],['Imperial'],['0883450508803'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['4.664 in'],['4.196 in'],['EUDR-1 7/8']
E-P2B-TRB-1 7/8-ECO,1 7/8 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 7/8 in'],['Imperial'],['0883450507172'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['3.582 in'],['4.196 in'],['EUDR-1 7/8']
E-P2B-TRB-1 7/8-SLA,1 7/8 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Solid Lube - Industrial ,E-Coat ,,['1 7/8 in'],['Imperial'],,['Solid Lube - Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 7/8-SLJ,1 7/8 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Solid Lube - Food Grade ,E-Coat ,,['1 7/8 in'],['Imperial'],,['Solid Lube - Food Grade'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 15/16,1 15/16 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 15/16 in'],['Imperial'],['053893586953'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 15/16-ECC,1 15/16 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 15/16 in'],['Imperial'],['0883450503884'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-D'],['3.482 in'],['4.196 in'],
E-P2B-TRB-1 15/16-ECO/ECC,1 15/16 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 15/16 in'],['Imperial'],['0883450505512'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-D'],['4.564 in'],['4.196 in'],['EUDR-1 15/16']
E-P2B-TRB-1 15/16-ECO/ECO,1 15/16 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 15/16 in'],['Imperial'],['0883450508742'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['4.664 in'],['4.196 in'],['EUDR-1 15/16']
E-P2B-TRB-1 15/16-ECO,1 15/16 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['1 15/16 in'],['Imperial'],['0883450507110'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['3.582 in'],['4.196 in'],['EUDR-1 15/16']
E-P2B-TRB-1 15/16-SLA,1 15/16 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Solid Lube - Industrial ,E-Coat ,,['1 15/16 in'],['Imperial'],,['Solid Lube - Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-1 15/16-SLJ,1 15/16 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Solid Lube - Food Grade ,E-Coat ,,['1 15/16 in'],['Imperial'],,['Solid Lube - Food Grade'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-2,2 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['2 in'],['Imperial'],['053893593944'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
E-P2B-TRB-2-ECC,2 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['2 in'],['Imperial'],['0883450504027'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-D'],['3.482 in'],['4.196 in'],
E-P2B-TRB-2-ECO/ECC,2 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['2 in'],['Imperial'],['0883450505659'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",['EUC-D'],['4.564 in'],['4.196 in'],['EUDR-2']
E-P2B-TRB-2-ECO/ECO,2 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['2 in'],['Imperial'],['0883450508889'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['4.664 in'],['4.196 in'],['EUDR-2']
E-P2B-TRB-2-ECO,2 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Grease - Premium Industrial ,E-Coat ,,['2 in'],['Imperial'],['0883450507257'],['Grease - Premium Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,['3.582 in'],['4.196 in'],['EUDR-2']
E-P2B-TRB-2-SLA,2 in,Imperial ,8-7/8 in,2-1/2 in,10300 lbf,3050 rpm,Solid Lube - Industrial ,E-Coat ,,['2 in'],['Imperial'],,['Solid Lube - Industrial'],['E-Coat'],['3-1/2 in'],['8-7/8 in'],['2-1/2 in'],['6-7/8 in'],['7-1/8 in'],['5/8 in'],['3/4 in'],['7/8 in'],['1-5/16 in'],['4-1/2 in'],['3-7/16 in'],['2-1/4 in'],['0.33'],['0.87'],['2.64'],['0.7'],['3.18'],['1.83'],['10300 lbf'],['43000 lbf'],['2590 lbf'],['8400 lbf'],['3050 rpm'],"['Note: All units have a 1/8"" pipe thread grease fittingThe Maximum Permissible Thrust Load applies to conditions of slip fit with set screw mounting or in applications where a large moment loading occurs. The values shown\nare valid only when two collars and set screws are used.When heavy thrust forces are applied, the friction between the pillow block base may not be sufficient to prevent movement. Mechanical stops or shear bars with\nstrength sufficient to support the load should be added. Never weld the pillow block or bearing to secure it to the shaft or base.']",,,,
